;Trident;Gecko;WebKit;Presto;
<audio> attributes;
src;5.0[t 1];1.9.1;525;2.5;
preload;2.0[note 11][g 90];Experimental[note 11];
autoplay;1.9.1;2.5;
loop;11.0[g 91];
controls;1.9.1;
<video> attributes;
src;5.0[t 1];1.9.1;525;2.5;
preload;2.0[note 11][g 90];Experimental[note 11];
autoplay;1.9.1;2.5;
loop;11.0[g 91];
controls;1.9.1;
poster;1.9.2[g 92];
width;1.9.1;
height;
<source> attributes;
src;5.0[t 1];1.9.1;525[w 70];2.5;
type;
media;15.0[g 93];
<track> attributes;
kind;6.0[t 42];24.0[g 94];Yes[w 71];No;
label;
src;
srclang;
