Office suite;Windows;macOS;GNU/Linux;BSD;Unix;
Ability Office;Yes;No;No;No;No;
Apache OpenOffice;Yes;Yes;Yes;Yes;Yes;
Breadbox Office;DOS, Windows;No;No;No;No;
Calligra Suite;Yes;Yes;Yes;Yes;Yes;
Feng Office Community Edition;Fully online;Fully online;Fully online;Fully online;Fully online;
Gobe Productive;Yes;No;No;No;No;
Google Apps for Work;Fully online;Fully online;Fully online;Fully online;Fully online;
IBM Lotus Symphony;Yes;Yes;Yes;?;?;
iWork;Fully online (iCloud version);Yes;Fully online (iCloud version);Fully online (iCloud version);Fully online (iCloud version);
LibreOffice;Yes;Yes;Yes;Yes;Yes;
Lotus SmartSuite;Yes;No;Some (with Wine);No;No;
MarinerPak;No;Yes;No;No;No;
Microsoft Office;Yes;Partial (not all features available, e.g. Project, Visio, Access);Some (with Wine);No;No;
Microsoft Works;Yes;Dropped (4.0; Classic only);Some (with Wine);No;No;
MobiSystems OfficeSuite;Yes;No;No;No;No;
NeoOffice;No;Mac OS X v10.3 or above;No;No;No;
ONLYOFFICE;Fully online;Fully online;Fully online;Fully online;Fully online;
SoftMaker Office;Yes;Yes;Yes;Dropped (2006);No;
StarOffice;Yes;Yes (Intel only);Yes;Yes;Yes;
TeXmacs;Yes;Yes;Yes;Yes;Yes;
TeamLab;Fully online;Fully online;Fully online;Fully online;Fully online;
ThinkFree Office;Fully online;Fully online;Fully online;Fully online;Fully online;
Tiki Wiki CMS Groupware;Fully online;Fully online;Fully online;Fully online;Fully online;
WordPerfect Office;Yes;No;Some (Ver. 2000);No;No;
WPS Office (Kingsoft Office);Yes;No;Yes;No;No;
Zoho Office Suite;Fully online;Fully online;Fully online;Fully online;Fully online;
Office suite;Windows;macOS;GNU/Linux;BSD;Unix;
