;MySQL;PostgreSQL;MSSQL;Oracle;SQLite;Firebird;Flat file;
bbPress[2];Yes;No;No;No;No;No;No;
Beehive Forum;Yes;No;No;No;No;No;No;
Discourse;No;Yes;No;No;No;No;No;
Discuz!;Yes;Yes;No;No;No;No;No;
FluxBB;Yes;Yes;No;No;SQLite 2[87];No;No;
FUDforum;Yes;Yes;Yes;Yes;Yes;Yes;No;
Iko;Yes;No;No;No;No;No;No;
Ikonboard;Yes;Yes;No;Yes;No;No;Yes;
Invision Power Board;Yes;No;Discontinued [88];No;No;No;No;
kusaba;Yes;No;No;No;No;No;No;
MyBB[48];Yes;Yes;No;No;Yes;No;No;
Phorum;Yes;No;No;No;No;No;No;
phpBB[55];Yes;v8.2 or newer[89][90];Yes;Yes;Yes;Discontinued;No;
PunBB[61];Yes;Yes;No;No;Yes;No;No;
Simple Machines Forum;Yes;Yes;No;No;Yes;No;No;
Syndie;Yes (HSQLDB);No;No;No;No;No;No;
Thredded[25];Yes;Yes;No;No;Yes;No;No;
UBB.threads;Yes;No;No;No;No;No;No;
Vanilla Forums;Yes;No;No;No;No;No;No;
vBulletin[72];Yes;No;No;No;No;No;No;
XenForo;Yes;No;No;No;No;No;No;
