Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1,2;Fillrate;Memory;Processing power (GFLOPS)3;API support;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Single precision;Direct3D;OpenGL;Other;
XGPU (Xbox)[204];November 15, 2001;NV2A;150;Integrated;233;200;4:2:8:4;932;932;1864;116.5;64;5.34;DDR;128;5.8;8.1;1.4;N/A;
RSX (PS3)[205];November 11, 2006;G70;90, 65, 40;FlexIO;500 550 (shaders);650;24:8:24:8;13200;4000;13200;1230;256 256;22.4 20 (read), 15 (write);GDDR3 XDR;128;192;N/A;ES 1.1 w/Cg;N/A;
NX-SoC (Nintendo Switch)[206];March 17, 2017;GM20B;20;Integrated;307-384 (Undocked) 768 (Docked);1333 1600;256:16:16;157000 196000 393000;4400 5500 11000;4900 6200 12300;N/A;4096;25.6;LPDDR4;64;157 196 393;N/A;4.5[207] ES 3.2[208];Vulkan 1.0[209] NVN[206];
