Client;Publisher;First public release;Type;Latest stable version;License;
Adium;Adam Iser, Evan Schoenberg;2001-09;Multi-protocol;1.5.10.4 (April 27, 2017; 19 months ago (2017-04-27)) [±];GPLv2;
aMSN;The aMSN team;2002-05;Single-protocol;0.98.4;GPL;
AOL Instant Messenger (AIM);AOL;1997-05;Single-protocol;8.0.8.1 (April 6, 2015; 3 years ago (2015-04-06)) [±];Discontinued (was freeware);
AstraChat;Rockliffe System Inc;2014-09;Single-protocol;1.71.41 (October 31, 2018; 50 days ago (2018-10-31));Proprietary;
Ayttm;Colin Leroy and Philip Tellis;2003-04;Multi-protocol;Linux: 0.6.3 (10 Jul 2010) Windows: 0.4.6-17;GPL;
BlackBerry Messenger (BBM);BlackBerry Limited;2006;Single-protocol;10.5.5.38 (BlackBerry 10) (31 October 2014; 4 years ago (2014-10-31)) [±] 8.5.1.8 (BlackBerry) (3 August 2014; 4 years ago (2014-08-03)) [±] 2.5.0.36 (Android) (10 November 2014; 4 years ago (2014-11-10)) [±] 2.5.0.26 (iOS) (31 October 2014; 4 years ago (2014-10-31)) [±];Freeware;
BitlBee;Wilmer van der Gaast;2002-08-09;Multi-protocol IRC gateway;3.5.1 (30 January 2017; 22 months ago (2017-01-30)) [±];GPL;
Bombus;Eugene Stahov;2005-01-05;Single-protocol;v0.6 (2008; 10 years ago (2008));GPL;
Centericq;Konstantin Klyagin;1999;Multi-protocol;4.21.0 (September 2, 2005; 13 years ago (2005-09-02)) [±];GPL;
Coccinella;Mats Bengtsson;1999-12-01;Single-protocol;0.96.16 (December 1, 2009; 9 years ago (2009-12-01));GPLv3;
Discord;Discord Inc.;2015-03-06;Single-protocol;03.30.2017; (March 30, 2017; 20 months ago (2017-03-30));Freeware;
eBuddy;Paulo Taylor;2003-03-09;Multi-protocol;2011; 7 years ago (2011);Freeware;
emesene;Luis Mariano Guerra;2006-05-24;Multi-protocol;2.12.5;GPL;
Empathy;The GNOME Project;2007-05;Multi-protocol;3.12.12[2] (May 13, 2016; 2 years ago (2016-05-13)) [±];GPL;
Facebook Messenger;Facebook, Inc.;2011-08-09;Single-protocol;;Freeware;
FaceTime;Apple Inc.;2010-06-24 for iOS; 2011-02-24 for macOS:;Single-protocol;iOS: 10.3.3 (stable), July 19, 2017; 16 months ago (2017-07-19) macOS: 4.0 (3080), July 24, 2017; 16 months ago (2017-07-24);Part of macOS or iOS;
Fire;Eric Peyton;1999-04-01;Multi-protocol;1.5.6 (February 16, 2006) [±];GPL;
Firetalk;Multitude Communications;1997 -2001;voice/music chat program;;GPL;
Flock;Riva FZC;September 2014;Single-protocol;iOS: v2.28.5, Android: v4.5, OS X: v2.2.144, Windows: v2.2.x, Web: v2.2.x;Freemium;
Gadu-Gadu;?ukasz Foltyn / GG Network S.A.;2000-08-15;Single-protocol;Modern UI: 2.0.0.179 Desktop: 12.0.49.11103 (December 13, 2013; 5 years ago (2013-12-13));Freeware;
Gajim;Yann Le Boulanger;2004-05-21;Single-protocol;1.1.0 (November 6, 2018; 44 days ago (2018-11-06)[3]) [±];GPL;
Google Allo;Android;iOS;Google, Inc.;2016-09-21;Single-protocol;Android 27.0.326_RC03 / October 31, 2018; 50 days ago (2018-10-31)[4] iOS 26.0 / January 23, 2018; 10 months ago (2018-01-23)[5];Android;iOS;27.0.326_RC03 / October 31, 2018; 50 days ago (2018-10-31)[4];26.0 / January 23, 2018; 10 months ago (2018-01-23)[5];Freeware;
Android;27.0.326_RC03 / October 31, 2018; 50 days ago (2018-10-31)[4];
iOS;26.0 / January 23, 2018; 10 months ago (2018-01-23)[5];
Google Hangouts;Google, Inc.;2013-05-15;Single-protocol;;Freeware;
Hookt;Hookt, Inc.;2011-09-14;Single-protocol;;Freeware;
Hike;Bharti SoftBank;2012-12-12;Single-protocol;3.2.0 (Android, August 12, 2014; 4 years ago (2014-08-12))[6] 2.6.2.0 (Windows Phone, July 23, 2014; 4 years ago (2014-07-23))[7] 2.6.2 (BlackBerry, May 7, 2014; 4 years ago (2014-05-07))[8] 2.6.0 (iOS, August 12, 2014; 4 years ago (2014-08-12))[9] 2.6.0 (Symbian);Freeware;
IBM Lotus Sametime;IBM, Ubique;1998;Multi-protocol — proprietary T.120, SIP, XMPP;9.0.0 (September 20, 2013; 5 years ago (2013-09-20));Proprietary commercial software;
iChat;Apple Inc.;2002-08;Multi-protocol;6.0.1 (1002) (February 1, 2012; 6 years ago (2012-02-01)), replaced by Messages;Part of macOS;
ICQ;Mail.Ru;1996-11;Single-protocol;8.0.5977 (January 14, 2016; 2 years ago (2016-01-14));Apache license;
IMVU;Will Harvey;2001-07;Multiple-protocol;3.0;Freemium;
Instantbird;Florian Quèze;2007;Multi-protocol;1.5 (December 17, 2013; 5 years ago (2013-12-17)) [±];GPLv2;
Jitsi;Emil Ivov;2003;Multi-protocol;2.10 (build.5550) (February 5, 2017; 22 months ago (2017-02-05)) [±];LGPL;
Kadu;Kadu Team;2001-08;Multi-protocol;4.1 (December 2, 2016; 2 years ago (2016-12-02));GPLv2;
KakaoTalk;Kakao Corp.;2010-03-18;single-protocol;iOS: 5+ Android: 4+ Windows Phone: 2+ BlackBerry: 3+ Windows 8;Freeware;
Kik Messenger;Kik Interactive;2010-10;Single-protocol;6.2;Freeware;
Kopete;Kopete Team;2002-03-03;Multi-protocol;1.7.2 (October 13, 2015; 3 years ago (2015-10-13)) [±][10];GPL;
Libon;Orange S.A.;2012-11-21;;;Freemium;
Line;LINE Corporation;2011;Single-protocol;iOS: 3.8.2 Android: 3.8.5 Windows Phone: 2.6.0.137 BlackBerry: 1.8.23 Windows: 5.8.1706;Freemium;
MCabber;Mikael Berthe;2005-06-07;Single-protocol;1.1.0 (June 4, 2017; 18 months ago (2017-06-04)) [±];GPL;
Meetro;Paul Bragiel & Samuel Stauffer;2005;Multi-protocol;Windows: 0.96 beta OS X: 0.53 beta;Discontinued;
Messages;Apple Inc.;2012-07-25;Multi-protocol;8.1.3 (January 27, 2015; 3 years ago (2015-01-27));Part of macOS and iOS;
Skype for Business;Microsoft;2005;Single-protocol;2013 (October 2, 2012; 6 years ago (2012-10-02));Trialware;
Miranda IM;Miranda IM project;2000-02-06;Multi-protocol;0.10.80[11] (25 April 2018; 7 months ago (2018-04-25)) [±];GPL;
Mysms;sms.at mobile internet services gmbh;2011;Single-protocol;?;Freemium;
MySpaceIM;MySpace;2006-05-09;Single-protocol;1.0.754.0 (February 7, 2008; 10 years ago (2008-02-07));Freeware;
naim;Daniel Reed;1998-10-05;Multi-protocol;0.11.8.3.1 (July 9, 2007; 11 years ago (2007-07-09));GPL;
Nimbuzz;Evert Jaap Lugt;2006;Multi-protocol;Android: 7.0.1 (5 October 2018; 2 months ago (2018-10-05)) [±][12] iOS: 5.11.0 (1 February 2018; 10 months ago (2018-02-01)) [±][13] BlackBerry OS: 4.0 (10 December 2013; 5 years ago (2013-12-10)) [±][14] Windows Phone: 1.1.8.1 (16 April 2014; 4 years ago (2014-04-16)) [±][15];Freeware;
Palringo;Palringo Ltd;2006;Single-protocol;Windows: 2.7.9 (July 4, 2012; 6 years ago (2012-07-04)) Windows Mobile: 2.6.6 (March 30, 2012; 6 years ago (2012-03-30)) iOS: 4.12 (August 6, 2012; 6 years ago (2012-08-06)) Android: 5.2.8 (August 1, 2012; 6 years ago (2012-08-01)) OS X: 4.6.4 (July 24, 2012; 6 years ago (2012-07-24)) Windows Phone: 0.11.0.0 (February 14, 2012; 6 years ago (2012-02-14));Freemium;
Paltalk;;1998-06;Multi-protocol;Version 10.2 Build 455;Freeware;
Pidgin;Mark Spencer;1998-11;Multi-protocol;2.13.0 (March 8, 2018; 9 months ago (2018-03-08)[16]) [±];GPL;
Psi;Psi and Psi+ developers;2001;Single-protocol;1.4 (November 2, 2018; 48 days ago (2018-11-02)) [±];GPL;
Quiet Internet Pager (QIP);Ilgam Zyulkorneev;2004;Multi-protocol;QIP 2012 version 4.0 (build 8866) (27 November 2012; 6 years ago (2012-11-27)) [±];Freeware;
QuteCom;QuteCom;2004;Multi-protocol;2.2.1 (22 June 2011; 7 years ago (2011-06-22)[17]) [±];GPL;
Ricochet;Invisible.im;2014-06;Single-protocol;1.1.4 (November 8, 2016; 2 years ago (2016-11-08)[18]) [±];BSD;
Ring;Savoir-faire Linux Inc.;2014;Single-protocol;20180509;GPLv3;
RingID;Ring Inc.;2015;Multi-protocol;4.1.4 (Android, March 16, 2016; 2 years ago (2016-03-16))[19] 4.1.1.4 (Windows Phone, March 9, 2016; 2 years ago (2016-03-09))[20] 4.2.2 (iOS, March 19, 2016; 2 years ago (2016-03-19))[21];Freeware;
Riot.im;New Vector Limited;2016-07;Single-protocol;Android 0.8.18 (October 18, 2018; 2 months ago (2018-10-18)[22]) [±] iOS 0.7.5 (October 5, 2018; 2 months ago (2018-10-05)[23]) [±] Web (Desktop) 0.17.2 (October 19, 2018; 2 months ago (2018-10-19)[24]) [±];Apache License;
Sicher;SHAPE GmbH;2014-06;Single-protocol;1.1;Freeware;
Signal;Open Whisper Systems;2014-07;Single-protocol;Android 4.30.8 (November 22, 2018; 28 days ago (2018-11-22)[25]) [±] iOS 2.31.0 (November 26, 2018; 24 days ago (2018-11-26)[26]) [±] Desktop 1.18.1 (November 26, 2018; 24 days ago (2018-11-26)[27]) [±];GPLv3;
Skype;Windows, UWP;Windows, desktop;macOS;Linux;Android 6 and later;iOS & watchOS;Skype Technologies, a subsidiary of Microsoft Corporation;2003;Single-protocol;Windows, UWP 14.35.76.0 / 3 December 2018; 17 days ago (2018-12-03)[28] Windows, desktop 8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28] macOS 8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28] Linux 8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28] Android 6 and later 8.36.0.52 / 11 December 2018; 9 days ago (2018-12-11)[29] iOS & watchOS 8.35.0.71 / 3 December 2018; 17 days ago (2018-12-03)[29];Windows, UWP;Windows, desktop;macOS;Linux;Android 6 and later;iOS & watchOS;14.35.76.0 / 3 December 2018; 17 days ago (2018-12-03)[28];8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28];8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28];8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28];8.36.0.52 / 11 December 2018; 9 days ago (2018-12-11)[29];8.35.0.71 / 3 December 2018; 17 days ago (2018-12-03)[29];Freemium adware;
Windows, UWP;14.35.76.0 / 3 December 2018; 17 days ago (2018-12-03)[28];
Windows, desktop;8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28];
macOS;8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28];
Linux;8.34.0.78 / 13 November 2018; 37 days ago (2018-11-13)[28];
Android 6 and later;8.36.0.52 / 11 December 2018; 9 days ago (2018-12-11)[29];
iOS & watchOS;8.35.0.71 / 3 December 2018; 17 days ago (2018-12-03)[29];
Spark (XMPP client);Ignite Realtime;2006-09;Single-protocol;2.7.7 (April 24, 2016; 2 years ago (2016-04-24)) [±];Apache License;
Surespot;Surespot LLC;2013;Single-protocol;iOS 11 (September 24, 2015; 3 years ago (2015-09-24)[30]) [±] Android 63 (October 9, 2015; 3 years ago (2015-10-09)[31]) [±];GPLv3;
