Software;Collaborative software;Issue tracking system;Scheduling;Project Portfolio Management;Resource Management;Document Management;Workflow system;Reporting and Analyses;
2-plan;Yes;No;Yes[20];Yes;Yes;Yes;Yes;Yes;
24SevenOffice;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Actionspace;Yes;Yes;Yes;No;No;No (Integrates with SharePoint);Yes;Yes;
AnyChart (AnyGantt);Yes;No;Yes;Yes;Yes;No;Yes;Yes;
Apache Allura;Yes;Yes;No;Yes;Yes;Yes;No;No;
Apache OFBiz;Unknown;No;Yes;Yes;Yes;Yes;No;Unknown;
Apache Bloodhound;Yes;Yes;No;No;No;No;Yes;No;
Asana;Yes;No;Yes;Yes;Yes;No;Yes;Yes;
Assembla;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Axosoft;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Basecamp;Yes[21];No;No;No;Yes[19];Yes;No;No;
Calligra Plan;No;No;Yes;No;Yes;No;No;No;
CEITON;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Clarizen;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Collabtive;Yes;No;No;No;No;Yes;No;Yes;
Compuware Changepoint;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
ConceptDraw Project;Yes[22];Yes[23];Yes[24];Yes;Yes;Yes;Yes;Yes;
Concerto Project Management;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Copper Project;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;
dotProject;Yes;Yes;No;Yes;Yes;Yes;No;Yes;
DynaRoad;No;No;Yes;No;Yes;No;Yes;Yes;
Easy projects;Yes;Yes;Yes;Yes;Yes;No;No;Yes;
Eclipse PPM software;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Endeavour Software Project Management;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;
eGroupWare;Yes;Yes;No;Yes;Yes;Yes;No;No;
enQuire;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
FastTrack Schedule;Yes;No;Yes;Yes;Yes;No;Yes;Yes;
Feng Office Community Edition;Yes;No;Yes;Yes;No;Yes;No;No;
FinancialForce.com;No;No;Yes;No;Yes;No;No;Yes;
FogBugz;Yes;Yes;Yes;No;Yes;No;Yes;Yes;
Fossil-scm;Yes;Yes;No;No;No;No;No;No;
Freedcamp;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
GanttProject;No;No;Yes;No;Yes;No;No;No;
Genius Project;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Groupiful;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Group-Office;Yes;No;Yes;No;No;Yes;No;No;
GroveSite;Yes;Yes;Yes;Yes;No;Yes;No;No;
Hall.com;Yes;No;No;No;Yes;Yes;No;No;
Helix ALM;Yes;Yes;No;No;No;No;Yes;Yes;
HeySpace;Yes;Yes;Yes;Yes;No;No;No;No;
HP Project & Portfolio Software;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Huddle;Yes;No;No;No;No;Yes;No;No;
Hyperoffice;Yes;No;No;No;No;Yes;No;No;
iManageProject;Yes;No;No;No;Yes;Yes;No;No;
InLoox;Yes;Yes;Yes;No;Yes;Yes;No;Yes;
in-Step BLUE;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
IRise;Yes;Yes;Yes;No;No;No;Yes;Yes;
Jira;Yes;Yes;Yes;No;No;No;Yes;Yes;
Launchpad;Yes;Yes;No;Yes;No;No;No;No;
LibrePlan;Yes;No;Yes;No;Yes;No;No;Yes;
LiquidPlanner;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
LisaProject;No;No;Yes;No;Yes;No;No;No;
MacProject;No;No;Yes;No;Yes;No;No;No;
MantisBT;No;Yes;No;No;No;No;No;No;
Métier;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Microsoft Dynamics AX;Yes;No;Yes;No;Yes;Yes;Yes;Yes;
Microsoft Office Project Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Microsoft Project;No;No;Yes;No;Yes;No;No;Yes;
Microsoft SharePoint Server;Yes;Yes;Yes;No;No;Yes;Yes;No;
Microsoft Team Foundation Server;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Milestones Professional;No;Yes;Yes;No;No;Yes;No;No;
NetPoint;No;No;Yes;No;Yes;No;No;No;
NetSuite;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
MyWorkPLAN;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
O3Spaces;Yes;No;No;No;No;Yes;No;No;
OnePager Pro;Yes;No;Yes;Yes;Yes;Yes;No;Yes;
OmniPlan;Yes;No;Yes;No;Yes;No;No;Yes;
Open Workbench;No;No;Yes;No;Yes;No;No;No;
OpenProj;No;No;Yes;No;Yes;No;No;No;
OpenProject;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes (Via OpenProject plug-ins)[25];
Oracle Primavera EPPM (Primavera P6);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
phpGroupWare;Yes;Yes;No;Unknown;Yes;Yes;No;No;
PHProjekt;Yes;Yes;Yes;No;No;No;No;No;
Pivotal Tracker;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Plandora;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;
Planisware;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
PLANTA Project;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Project Builder;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Project KickStart;No;No;Yes;No;Yes;Yes[26];Yes[27];Yes[28];
Project Team Builder;Yes;No;Yes[29];Yes[29];Yes[29];No;Yes;Yes[29];
ProjectLibre;No (Enterprise ProjectLibre and PPMLibre under development)[10][30];No;Yes;No (Enterprise ProjectLibre and PPMLibre under development)[10][30];Yes;No[31];No;Yes;
ProjectLink;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
ProjectManager.com;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Project.net;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Projector PSA;No;No;Yes;No;Yes;Yes;Yes;Yes;
Projectplace;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
Projektron BCS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
ProjeQtOr;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Proliance;Yes;Yes;Yes;Yes;Yes;Yes;Yes[32];Yes [33];
Prolog;Yes;Yes;No;Yes;No;Yes;Yes;Yes;
Pyrus;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
RationalPlan;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Realisor;Yes;No;Yes;Yes;Yes;No;No;Yes;
Redbooth;Yes[3];Unknown;Unknown;Yes[34];Yes[3];Yes[3];Unknown;Unknown;
Redmine;Yes;Yes;Yes;Yes;No;Yes;Yes;No;
Rillsoft Project & Integration Server;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
SAP Business ByDesign;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Sciforma;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Scoro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Severa;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Smartsheet;Yes;Yes;Yes;No;Yes;Yes;No;Yes;
Spider Project;No;No;Yes;Yes;Yes;No;No;Yes;
Streamtime Software;Yes;No;Yes;Yes;Yes;No;Yes;Yes;
TACTIC;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Talygen;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;
TaskJuggler;Yes;No;Yes;No;Yes;No;No;No;
Teamcenter;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
TeamDynamixHE;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
TeamLab;Yes;No;Yes;Yes;No;Yes;No;Yes;
Teamwork.com;Yes;No;Yes;Yes;Yes;Yes;No;Yes;
The Bug Genie;Yes;Yes;No;Yes;No;No;Yes;Yes;
Trac;Yes;Yes;No;No;No;No;Yes;No;
TrackerSuite.Net;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Traction TeamPage;Yes;Yes;Yes;Yes;No;Yes;No;Yes;
Trello;Yes;Yes;Yes;Unknown;Unknown;No;No;Unknown;
Triskell;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Tuleap;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Twproject;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
UniPhi;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
VPMi;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
web2project;Yes;Yes;No;Yes;Yes;Yes;No;Yes;
Workamajig;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Workfront;Yes;Yes[19];Yes[19];Yes[19];Yes;Yes;Yes;Yes;
WorkPLAN Enterprise;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
workspace.com;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;
Wrike;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Zoho Projects;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;
