;Creator;Latest stable version;Software license;Open source;Programming language;Plugin support;
Alfred;Running with Crayons;3.0.3;Proprietary;No;Objective-C;Yes;
Butler;Peter Maurer;4.1.6;Proprietary;No;Objective-C;Yes;
DragThing;James Thomson;5.9.11;Proprietary;No;C++;Yes;
LaunchBar;Objective Development;6.9.5;Proprietary;No;Objective-C;Yes;
Quicksilver;Blacktree Software;1.3.4;Apache License;Yes;Objective-C;Yes;
