;Trident;Gecko;WebKit;Presto;Blink;
Called as function;
Object([value]);Yes;Yes;Yes;Yes;Yes;
Called as constructor;
new Object([value]);4.0;Yes;Yes;Yes;Yes;
Properties;
prototype;4.0;Yes;Yes;Yes;Yes;
Properties of prototype;
constructor;4.0;Yes;Yes;Yes;Yes;
toString();4.0;Yes;Yes;Yes;Yes;
toLocaleString();4.0;Yes;Yes;Yes;Yes;
valueOf();4.0;Yes;Yes;Yes;Yes;
hasOwnProperty(V);5.5;Yes;3;Yes;Yes;
isPrototypeOf(V);5.5;Yes;3;Yes;Yes;
propertyIsEnumerable(V);5.5;Yes;3;Yes;Yes;
