IDE;License;Windows;Linux;macOS;Other platforms;Debugger;GUI builder;Profiler;Static code analysis;MXML;Export to Mobile;
Adobe Animate Formerly Adobe Flash Professional;Proprietary;Yes;No;Yes;JVM;Yes;Yes;Yes;Yes;Yes;Yes;
Flash Builder;Proprietary;Yes;No;Yes;JVM;Yes;Yes;Yes;Yes;Yes;Yes;
FlashDevelop;MIT License;Yes;No;No;;Yes;No;Yes;No;Yes;Yes;
IntelliJ IDEA;Proprietary;Yes;Yes;Yes;FreeBSD, OpenBSD, Solaris;Yes;No;Yes;Yes;Yes;Yes;
Powerflasher FDT;Proprietary;Yes;Yes;Yes;JVM;Yes;No;Yes;Yes;Yes;Yes;
