;Trident;Tasman;Gecko;WebKit;KHTML;Presto;
Interface HTMLCollection;
length;DOM1;7.0;?;1.0;?;?;1.0;
item();?;?;?;
namedItem();?;?;?;
Interface HTMLOptionsCollection;
length;DOM2;?;?;1.0;?;?;2.0;
item();?;?;?;?;
namedItem();?;?;?;?;
Interface HTMLDocument;
domain;DOM1;4.0;Yes;1.0;Yes;?;1.0;
URL;?;
body;?;
images;?;
applets;?;
title;3.0;?;
referrer;?;
links;?;
forms;?;
anchors;?;
cookie;?;
open();?;
close();?;
write();?;
writeln();?;
getElementsByName();Yes;?;?;
Interface HTMLElement;
id;DOM1;4.0;Yes;1.0;?;?;1.0;
title;?;?;
lang;?;?;
className;?;?;
dir;5.0;?;?;
Interface HTMLHtmlElement;
version;DOM1;6.0;?;1.0;?;?;2.0;
Interface HTMLHeadElement;
profile;DOM1;8.0;?;1.0;?;?;1.0;
Interface HTMLLinkElement;
disabled;DOM1;4.0;Yes;1.0;?;?;1.0;
charset;?;?;
href;8.0;?;?;
hreflang;4.0;?;?;
media;?;?;
rel;?;?;
rev;?;?;
target;?;?;
type;?;?;
Interface HTMLTitleElement;
text;DOM1;4.0;Yes;1.0;?;?;1.0;
Interface HTMLMetaElement;
content;DOM1;4.0;Yes;1.0;?;?;1.0;
httpEquiv;?;?;
name;?;?;
scheme;6.0;?;?;?;2.0;
Interface HTMLBaseElement;
href;DOM1;8.0;Yes;1.0;?;?;2.0;
target;4.0;?;?;
Interface HTMLStyleElement;
disabled;DOM2;?;?;1.0;?;?;1.0;
media;4.0;Yes;?;?;
type;?;?;
Interface HTMLBodyElement;
aLink;DOM1;4.0;Yes;1.0;?;?;1.0;
background;8.0;?;?;
bgColor;4.0;?;?;
link;?;?;
text;?;?;
vLink;?;?;
Interface HTMLFormElement;
action;DOM1;8.0;Yes;1.9;?;?;1.0;
acceptEncoding;?;?;1.0;?;?;
elements;3.0;Yes;?;?;
length;?;?;
name;?;?;
enctype;4.0;?;?;
method;3.0;?;?;
target;?;?;
submit();?;?;
reset();4.0;?;?;
Interface HTMLSelectElement;
selectedIndex;DOM1;3.0;Yes;1.0;?;?;1.0;
length;?;?;
options;?;?;
name;?;?;
size;4.0;?;?;
type;?;?;
value;?;?;
disabled;5.0;?;?;
multiple;?;?;
form;?;?;?;?;
tabIndex;?;?;?;?;
add();?;?;?;?;
remove();?;?;?;?;
blur();3.0;Yes;?;?;
focus();?;?;
Interface HTMLOptGroupElement;
disabled;DOM1;?;?;1.0;?;?;2.0;
label;No;Yes;?;?;
Interface HTMLOptionElement;
form;DOM1;4.0;Yes;1.0;?;?;1.0;
defaultSelected;?;?;
text;?;?;
index;?;?;?;?;
disabled;?;?;?;?;
label;6.0;Yes;?;?;2.0;
selected;4.0;?;?;1.0;
value;?;?;
Interface HTMLInputElement;
defaultValue;DOM1;3.0;Yes;1.0;?;?;1.0;
defaultChecked;?;?;
form;?;?;
accept;?;?;?;?;
accesskey;?;?;?;?;
align;?;?;?;?;
alt;?;?;?;?;
checked;3.0;Yes;?;?;
disabled;5.0;?;?;
maxLength;4.0;?;?;2.0;
name;3.0;?;?;1.0;
readOnly;4.0;?;?;
size;?;?;
src;1.9;?;?;
tabIndex;?;?;1.0;?;?;
type;4.0;Yes;?;?;
useMap;?;?;?;?;
value;3.0;Yes;?;?;
blur();?;?;
focus();?;?;
select();?;?;
click();?;?;
Interface HTMLTextAreaElement;
defaultValue;DOM1;3.0;Yes;1.0;?;?;1.0;
form;?;?;
accesskey;?;?;?;?;
cols;4.0;Yes;?;?;
disabled;5.0;?;?;
name;3.0;?;?;
readOnly;4.0;?;?;
rows;?;?;
tabIndex;?;?;?;?;
type;4.0;Yes;?;?;
value;3.0;?;?;
blur();?;?;
focus();?;?;
select();?;?;
Interface HTMLButtonElement;
form;DOM1;3.0;Yes;1.0;?;?;1.0;
accesskey;?;?;?;?;
disabled;5.0;Yes;?;?;
name;3.0;?;?;
tabIndex;?;?;?;?;
type;3.0;Yes;?;?;
value;?;?;
Interface HTMLLabelElement;
form;DOM1;6.0;Yes;1.0;?;?;1.0;
accesskey;5.0;?;?;
htmlFor;4.0;?;?;
Interface HTMLFieldSetElement;
form;DOM1;5.0;Yes;1.0;?;?;1.0;
Interface HTMLLegendElement;
form;DOM1;5.0;Yes;1.0;?;?;1.0;
accesskey;?;?;?;?;
align;5.0;Yes;?;?;
Interface HTMLUListElement;
compact;DOM1;4.0;Yes;1.0;?;?;1.0;
type;?;?;
Interface HTMLOListElement;
compact;DOM1;4.0;Yes;1.0;?;?;1.0;
start;?;?;
type;?;?;
Interface HTMLDListElement;
compact;DOM1;4.0;Yes;1.0;?;?;1.0;
Interface HTMLLIElement;
type;DOM1;4.0;Yes;1.0;?;?;1.0;
value;?;?;
Interface HTMLDivElement;
align;DOM1;?;?;1.0;?;?;1.0;
Interface HTMLParagraphElement;
align;DOM1;?;?;1.0;?;?;1.0;
Interface HTMLHeadingElement;
align;DOM1;4.0;Yes;1.0;?;?;1.0;
Interface HTMLQuoteElement;
cite;DOM1;8.0;Yes;1.0;?;?;1.0;
Interface HTMLPreElement;
width;DOM1;?;?;1.0;?;?;1.0;
Interface HTMLBRElement;
clear;DOM1;4.0;Yes;1.0;?;?;1.0;
Interface HTMLHRElement;
align;DOM1;4.0;Yes;1.0;?;?;1.0;
noShade;?;?;
size;?;?;
width;?;?;
Interface HTMLModElement;
cite;DOM1;8.0;?;1.9;?;?;1.0;
dateTime;?;?;1.0;?;?;
Interface HTMLAnchorElement;
accesskey;DOM1;?;?;1.0;?;?;1.0;
charset;6.0;Yes;?;?;
coords;?;?;
href;3.0;?;?;
hreflang;6.0;?;?;
name;4.0;?;?;
rel;?;?;
rev;?;?;
shape;6.0;?;?;
tabIndex;?;?;?;?;
target;3.0;Yes;?;?;
type;6.0;?;?;
blur();?;?;?;?;
focus();?;?;?;?;
Interface HTMLImageElement;
name;DOM1;4.0;Yes;1.0;?;?;1.0;
align;?;?;
alt;?;?;
border;?;?;
height;?;?;
hspace;?;?;
