Functional programming;Java;C#;
Method references;Yes[10];Yes;
Closures;All lambdas do not introduce a new level of scope. All referenced variables must be effectively final;Yes;
Lambda expressions;Yes[72];Yes;
Expression trees;No;Yes;
Generic query language;No; but see 'Java 8 Stream equivalent' (Monad)[73];Yes;
Tail recursion compiler optimizations;No[citation needed];Only on x64[74];
