Name;Founded year;Latest stable version;Release year;License;Online;Windows;Mac OS X;Linux;BSD;Programming language;SDK?;Languages;Fonts;Output Formats;Notes;
SimpleOCR;2002;3.5;2008;Proprietary;No;Yes;No;No;No;?;?;?;?;;;
Dynamsoft OCR SDK;2003;8.2;2012;Proprietary;Yes;Yes;No;No;No;C/C++;Yes;40+[25];?;PDF, TXT;;
OmniPage;1970s;19.2;2015;Proprietary;Yes;Yes;Yes;Yes;No;C/C++, C#[26];Yes;125[27];Machine and handprinted fonts;DOC/DOCX XLS/XLSX PPTX RTF PDF PDF/A Searchable PDF HTML Text XML ePUB MP3;Product of Nuance Communications;
Microsoft Office OneNote 2007;2011;?;2007;Proprietary;No;Yes;No;No;No;?;?;?;?;;;
FreeOCR;?;4.2;August 2012;Proprietary;No;Yes;No;No;No;?;?;?;?;;[28];
gImageReader[29];2009;3.2.99;2017-07;GPL;No;Yes;Yes;Yes;No;C++;?;100+;Any printed font;TXT, PDF, hOCR;uses Tesseract OCR engine;
GOCR;2000;0.52[30];2018-10-15;GPL;Yes[31];Yes;Yes;Yes;Yes;C;?;20+;?;;;
Ocrad;?;0.26[32];2017-03-31;GPL;Yes;Yes;Yes;Yes;Yes;C++;Yes;Latin alphabet;?;;Command line;
SmartScore;1991;10.5.8;2015-07;Proprietary;No;Yes;Yes;No;No;?;?;?;?;;For musical scores;
Microsoft Office Document Imaging;?;Office 2007;2007;Proprietary;No;Yes;No;No;No;?;?;?;?;;Uses OmniPage[citation needed];
OCR.net;2016;?;2016;Proprietary;Yes;No;No;No;No;Java, C++, PHP, Objective-c;No;100+;?;TXT, Searchable PDF;Online service powered by PDF OCR X for conversions.;
PDF OCR X;2008;3.0.11;2018;Proprietary;No;Yes;Yes;No;No;Java, C++, Objective-C;No;100+;?;TXT, Searchable PDf;Drag and drop UI.;
Puma.NET;?;?;2009-10-29;BSD;No;Yes;No;No;No;C#;Yes;28;Any printed font;;.NET OCR SDK based on Cognitive Technologies' CuneiForm recognition engine. Wraps Puma COM server and provides simplified API for .NET applications;
ReadSoft;?;?;?;Proprietary;No;Yes;No;No;No;?;?;?;?;;Scan, capture and classify business documents such as invoices, forms and purchase orders integrated with business processes.;
Scantron;?;?;?;Proprietary;No;Yes;No;No;No;?;?;?;?;;For working with localized interfaces, corresponding language support is required.;
OCRFeeder;2009-03;0.8.1;2014-12-22;GPL;No;No;No;Yes;No;Python;?;?;?;;Features a full user interface and has a command-line tool for automatic operations. Has its own segmentation algorithm but uses system-wide OCR engines like Tesseract or Ocrad;
OCRopus;2007;1.3.3;2017-12-16;Apache;No;No;Yes;Yes;Yes;Python;?;All languages using Latin script (other languages can be trained);Normal Latin script and Fraktur (other scripts can be trained);TXT, hOCR[33], PDF[34];Pluggable framework under active development, used for Google Books;
MathOCR;2014;0.0.3;2015;GPL;No;Yes;Yes;Yes;Yes;Java;?;?;?;HTML, LaTeX;Features mathematical formula recognition and logical layout analysis, can use OCR engines like Tesseract or Ocrad as back-end.;
MeOCR;2012;1.0.0;2012;Freeware;No;Yes;No;No;No;C/C++/C#;Yes;28;Any printed font;HTML, hOCR, native, RTF, TeX, TXT;Windows application. Converts scanned documents to editable text documents using OCR and exports them to Microsoft Word with one click. Features a full user interface and also has a .NET Interface library[35] for developers.;
Yunmai OCR SDK;2002;1.0;2013;Proprietary;Yes;Yes;Yes;Yes;Yes;Java, C++, C, object pascal, objective-C;Yes;14;Any printed font;TXT, PDF;Has the advantage of Chinese characters recognition.[36];
Anyline SDK;2013[37];3.5.1[38];2016[38];Free non-commercial use[39];No;No*;No*;No*;No*;Java (Android), Objective-C & Swift (iOS), C# (Windows Phone, Xamarin), JavaScript (Cordova)[40];Yes[39];2 (German, English);Any printed trainable font[41];Plain text, verification image;*Customizable mobile OCR SDK for Android, iOS, Windows Phone, Smart glasses (Google Glass, Epson Moverio,...);
Name;Founded year;Latest stable version;Release year;License;Online;Windows;Mac OS X;Linux;BSD;Programming language;SDK?;Languages;Fonts;Output Formats;Notes;
