Kernel;Acorn ADFS;Amiga FFS;BeFS;BFS;cramfs;EFS;ext2;ext3;ext4;F2FS;FAT;FreeVxFS;HFS;HFS+;HPFS;ISO 9660;JFFS;JFFS2;JFS;MINIX fs;NSS;NTFS;OCFS;QNX4 FS;System V FS;UDF;UFS;XFS;ZFS;ReiserFS;Reiser4;Btrfs;HAMMER;Tux3;exFAT;ReFS;
DragonFly BSD kernel;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;limited write;No;No;No;read only;Yes;No;No;No;No;No;Yes;No;No;No;
FreeBSD kernel;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;limited write;No;No;No;Yes;Yes;read only;Yes;read only;No;No;No;No;?;No;
Linux kernel;Yes [25];Yes;read only;Yes;Yes;read only;Yes;Yes;Yes;Yes;Yes;read only;Yes;limited write (only with empty journal);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes (Full R/W with additional userspace driver)[26];Yes;Yes [25] [27];write support?;Yes;Yes [25];Yes;both FUSE and native;Yes;Yes;Yes;No;Yes;Yes.(Requires userspace driver due to patent concerns[28]);No;
MINIX 3 kernel;No;No;No;No;No;No;Yes;No;No;No;Tools available, cannot mount;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
NetWare kernel;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;?;No;
ReactOS kernel;No;No;No;No;No;No;No;No;No;No;Yes [29];No;No;No;No;Yes [29];No;No;No;No;No;Read only;No;No;No;Yes [29];No;No;No;No;No;Yes [30];No;No;No;No;
Solaris kernel;?;?;?;?;?;?;Yes;?;?;?;Yes;?;?;?;?;Yes;?;?;?;?;No;No;?;?;?;Yes;Yes;?;Yes;No;No;No;No;No;?;No;
Windows NT kernel;?;?;?;?;?;?;Yes [31];Yes [32];Yes [32];No;Yes;?;Yes [33];Yes [33];No;Yes;?;?;?;?;No;Yes;?;?;?;Yes;?;?;No;No;No;Yes [30];No;No;Yes;Yes;
XNU;No;No;No;No;No;No;Yes [34];Yes [34];No;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;Read-Only;No;No;No;Yes;Yes;No;read only;No;No;No;No;No;Yes;No;
