Review scores;
Publication;Score;
Amstrad Action;97% (Amstrad)[28];
Crash;91% (Spectrum)[4];
EGM;6.8/10 (Lynx)[29] 6.25/10 (CD-i)[30];
GameSpot;8.0/10 (PSP)[10] 7.2/10 (PS3)[18];
IGN;9/10 (Lynx)[31] 7.8/10 (PSP)[14];
Your Sinclair;91% (Spectrum)[6];
MegaTech;92% (Genesis)[32];
Mega;90% (Genesis)[33];
Next Generation;(3DO)[34];
