;ReWire;JACK;VST;VST3;LADSPA;LV2;DSSI;RTAS;AU;DXi;MAS;
ACID Pro;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;
Acoustica;No;No;Yes;Yes;No;No;No;No;Yes;No;No;
Ardour;No;Yes;Yes;Unknown;Yes;Yes;No;No;Yes;No;No;
Audacity;No;Yes;Yes;No;Yes;Yes;No;No;Only on OS X[1];No;No;
AudioDesk;Returns only;No;Via converter;No;No;No;No;No;Yes;No;Yes;
Audiotool;No;No;No;No;No;No;No;No;No;No;No;
Audition;Partial (Pre CS5.5 - Yes, CS5.5 - No);Yes;Yes;Yes;No;No;No;No;Yes;Partial (Pre CS5.5 - Yes, CS5.5 - No);No;
BIAS Peak;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Cubase;Yes;No;Yes;Yes;No;No;No;No;No;Terminated (SX3.1);No;
Diamond Cut ART;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Digital Performer;Yes;No;Yes;Yes;No;No;No;Yes (with Digi TDM or HD hardware via DAE);Yes;No;Yes;
Ecasound;No;Yes;No;No;Yes;No;No;No;No;No;No;
FL Studio;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;No;
GarageBand;Yes;No;No;No;No;No;No;No;Yes;No;No;
Goldwave;No;No;Beta;Unknown;No;No;No;No;No;Yes;No;
;ReWire;JACK;VST;VST3;LADSPA;LV2;DSSI;RTAS;AU;DXi;MAS;
Harrison Mixbus;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;
Jokosher;No;No;No;Unknown;Yes;No;No;No;No;No;No;
Kristal;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Live;Yes;No;Yes;No;No;No;No;No;Yes;No;No;
LMMS;No;Yes;Yes;Unknown;Yes;No;No;No;No;No;No;
Logic Express/Studio;Yes;No;No;No;No;No;No;No;Yes;No;No;
Mixcraft;Yes;No;Yes;Yes;No;No;No;No;No;DirectX effects only;No;
mp3DirectCut;No;No;No;No;No;No;No;No;No;No;No;
MuLab;Yes;Unknown;Yes;No;No;No;No;No;No;No;No;
MusE;No;Yes;Yes;Unknown;Yes;Yes;Yes;No;No;No;No;
n-Track;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;No;
Nuendo;Yes;No;Yes;Yes;No;No;No;No;No;No;No;
NU-Tech;No;No;Yes;Unknown;No;No;No;No;No;No;No;
Podium;Yes;No;Yes;No;No;No;No;No;No;No;No;
Pro Tools;Yes;No;No;No;No;No;No;Before version 11;No;No;No;
Qtractor;No;Yes;Yes;Unknown;Yes;Yes;Yes;No;Yes;No;No;
;ReWire;JACK;VST;VST3;LADSPA;LV2;DSSI;RTAS;AU;DXi;MAS;
REAPER;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;No;
Reason;Yes;No;Yes;No;No;No;No;No;No;No;No;
Record;Yes;No;No;No;No;No;No;No;No;No;No;
Renoise;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;
RiffWorks;Yes;No;Yes;Unknown;No;No;No;No;Yes;No;No;
Rosegarden;No;Yes;No;No;Yes;No;Yes;No;No;No;No;
Samplitude;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;
SONAR;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;
Sound Forge;No;No;Yes;Unknown;No;No;No;No;Yes;Yes;No;
Soundbooth;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
Soundscape 32;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
SoX;No;No;No;No;Yes;No;No;No;No;No;No;
SpectraLayers;No;No;Yes;Unknown;No;No;No;No;No;No;No;
Studio One;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;
Sweep;No;No;No;No;Yes;No;No;No;No;No;No;
Total Recorder;No;No;No;No;No;No;No;No;No;No;No;
Tracktion;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;
Traverso;No;Yes;No;Unknown;No;Yes;No;No;No;No;No;
WaveLab;No;No;Yes;Yes;No;No;No;No;No;No;No;
WavePad;No;No;Yes;No;No;No;No;No;No;Yes;No;
WaveSurfer;No;No;No;No;No;No;No;No;No;No;No;
;ReWire;JACK;VST;VST3;LADSPA;LV2;DSSI;RTAS;AU;DXi;MAS;
