Dataset Name;Brief description;Preprocessing;Instances;Format;Default Task;Created (updated);Reference;Creator;
Adult Dataset;Census data from 1994 containing demographic features of adults and their income.;Cleaned and anonymized.;48,842;Comma separated values;Classification;1996;[427];United States Census Bureau;
Census-Income (KDD);Weighted census data from the 1994 and 1995 Current Population Surveys.;Split into training and test sets.;299,285;Comma separated values;Classification;2000;[428][429];United States Census Bureau;
IPUMS Census Database;Census data from the Los Angeles and Long Beach areas.;None;256,932;Text;Classification, regression;1999;[430];IPUMS;
US Census Data 1990;Partial data from 1990 US census.;Results randomized and useful attributes selected.;2,458,285;Text;Classification, regression;1990;[431];United States Census Bureau;
