;2001[101];2002[102];2003[103];2004[104];2005[105];2006[106];2007[107];2008[108];2009[109];2010[110];Total;
 China;1;5;7;8;5;6;9;11;6;15;73;
 Japan;1;3;3;-;2;6;2;1;3;2;23;
 India;2;1;2;1;1;1;3;3;2;3;19;
 Israel;-;1;-;1;-;-;1;-;-;1;4;
 Iran;-;-;-;-;-;-;-;1;1;-;2;
 South Korea;-;-;-;-;-;-;-;-;1;1;2;
 North Korea;-;-;-;-;-;-;-;-;1;-;1;
Total;4;10;12;10;8;13;15;16;14;22;
