;Creator(s);First public release date;Latest stable version;Cost (USD);Software license;
7-Zip;Igor Pavlov;January 2, 1999; 19 years ago (1999-01-02);18.05 April 30, 2018; 7 months ago (2018-04-30);Free;LGPL (RAR plugin is proprietary);
ALZip;ESTsoft;1999; 19 years ago (1999) (as a WinZip translation);8.51.0.0 (9 September 2011; 7 years ago (2011-09-09)) [±];A free general serial number was published on developer's website altools.com in August 2012;Proprietary;
ALZip for Mac;ESTsoft;1999; 19 years ago (1999) (as a WinZip translation);1.11 (June 13, 2012; 6 years ago (2012-06-13)) [±];A free general serial number was published on developer's website altools.com in August 2012;Proprietary;
Archive Manager;Paolo Bacchilega;May 12, 2001; 17 years ago (2001-05-12);3.20.2 May 10, 2016; 2 years ago (2016-05-10)[1];Free;GPL;
Archive Utility;Apple Inc.;October 24, 2003; 15 years ago (2003-10-24);10.10 (October 16, 2014; 4 years ago (2014-10-16)) [±];Included with Mac OS X Core Services;Proprietary;
Ark;KDE team;1997;15.12.3 March 15, 2016; 2 years ago (2016-03-15);Free;GPL;
B1 Free Archiver;Adam Buyer;August 2011; 7 years ago (2011-08);1.5.86 November 25, 2013; 5 years ago (2013-11-25);Free;Proprietary;
BetterZip;BetterZip;May 2006; 12 years ago (2006-05);2.3.4 (December 1, 2014; 4 years ago (2014-12-01)[2]) [±];$19.95 USD;Proprietary;
Commander One;Eltima Software;August 4, 2015; 3 years ago (2015-08-04);1.1 September 29, 2015; 3 years ago (2015-09-29);Standard Free; $29.95 Pro Pack;Proprietary;
Compressed Folders;Microsoft Inc.;June 25, 1998; 20 years ago (1998-06-25);Windows 8.1 August 27, 2013; 5 years ago (2013-08-27);Included in Microsoft Windows Windows Explorer shell since Windows 98.;Proprietary;
CRAX Commander;Soft4U2;September 1, 2013; 5 years ago (2013-09-01);1.10.9 March 2, 2016; 2 years ago (2016-03-02);$19.99 USD;Proprietary;
Disk ARchiver;Denis Corbin;2002; 16 years ago (2002);2.5.14 December 20, 2017; 11 months ago (2017-12-20);Free;GPL;
Expander;Haiku, Inc.;2002; 16 years ago (2002);R1 Alpha 4.1 (November 14, 2012 (2012-11-14)) [±];Free;MIT;
Filzip;Philipp Engel;Unknown;3.06 (July 19, 2006; 12 years ago (2006-07-19)) [±];Free;Proprietary;
FreeArc;Bulat Ziganshin;November 1, 2007; 11 years ago (2007-11-01) v0.36;0.666 (May 20, 2010; 8 years ago (2010-05-20));Free;GPL;
iArchiver;Dare to be Creative Ltd.;October 21, 2007; 11 years ago (2007-10-21);1.4.1 October 30, 2008; 10 years ago (2008-10-30);$26;Proprietary;
Info-ZIP (Wzip);Samuel Smith;March 1989; 29 years ago (1989-03);6.0 April 29, 2009; 9 years ago (2009-04-29);Free;BSD-like;
KGB Archiver;Tomasz Pawlak;April 1, 2006; 12 years ago (2006-04-01);1.2.1.24 November 1, 2006; 12 years ago (2006-11-01);Free;GPL;
PeaZip;Giorgio Tani;September 16, 2006; 12 years ago (2006-09-16);6.6.1 October 28, 2018; 50 days ago (2018-10-28);Free;LGPL;
PKZIP;Phil Katz;1989; 29 years ago (1989);12.4[3] (ca. September 2009; 9 years ago (2009-09));$29.00;Proprietary;
PowerArchiver;ConexWare;March 1999; 19 years ago (1999-03);17.01.04 October 5, 2017; 14 months ago (2017-10-05);$22.95;Proprietary;
StuffIt;Smith Micro Software;1987; 31 years ago (1987);15.0.7 December 1, 2011; 7 years ago (2011-12-01)[4];Free expander; $49.99 Deluxe,[5] $79.99 French Deluxe;[6] Windows: $14.99 Standard,[7] $29.99 Deluxe,[8] $49.99 French (or German) Deluxe[9][10];Proprietary;
TAR;AT&T;1979; 39 years ago (1979);GNU tar: ; star: 1.5.3; BSD tar: 2.6.0;Free;Various;
The Unarchiver;Circlesoft;July 1, 2006; 12 years ago (2006-07-01);3.11.3 September 16, 2017; 14 months ago (2017-09-16);Free;LGPL;
Terse;IBM;July 1, 1984; 34 years ago (1984-07-01);;Free;Proprietary;
TUGZip;Christian Kindahl;August 18, 2002; 16 years ago (2002-08-18);3.5.0.0 April 2, 2008; 10 years ago (2008-04-02);Free;Proprietary;
WinAce;e-merge GmbH;Unknown;2.69 November 23, 2007; 11 years ago (2007-11-23);Free expander (GNU/Linux & Mac only); $29.00 Standard; $39.00 Plus;Proprietary;
WinRAR;Eugene Roshal / Alexander Roshal;1993; 25 years ago (1993);5.61 (October 1, 2018; 2 months ago (2018-10-01)[11]) [±];Free expander; $29[12];Proprietary;
WinZip;WinZip Computing, Inc;1991; 27 years ago (1991);23.0.13300 (October 22, 2018; 56 days ago (2018-10-22)) [±];$29.95 Standard; $49.95 Pro;Proprietary;
XAD a.k.a. XADMaster.library;Dirk Stoecker;1998; 20 years ago (1998);13.1;Shareware, Free for non commercial use;Proprietary;
Xarchiver;Giuseppe Torelli;Unknown;0.5.4 September 14, 2014; 4 years ago (2014-09-14);Free;GPL;
ZipGenius;Matteo Riso of M.Dev Software;May 2003; 15 years ago (2003-05);6.3.2.3112 August 8, 2014; 4 years ago (2014-08-08);Free;Proprietary;
;Creator(s);First public release date;Latest stable version;Cost (USD);Software license;
