Spanish;Portuguese;English;
nuevo   [?nwe??o?];novo   [?novu];new (m. sg.);
nueva   [?nwe??a];nova   [?n?v?];new (f. sg.);
nuevos   [?nwe??o?s];novos   [?n?vu?];new (m. pl.);
nuevas   [?nwe??as];novas   [?n?v??];new (f. pl.);
