Dataset Name;Brief description;Preprocessing;Instances;Format;Default Task;Created (updated);Reference;Creator;
Geographical Original of Music Data Set;Audio features of music samples from different locations.;Audio features extracted using MARSYAS software.;1,059;Text;Geographical classification, clustering;2014;[256][257];F. Zhou et al.;
Million Song Dataset;Audio features from one million different songs.;Audio features extracted.;1M;Text;Classification, clustering;2011;[258][259];T. Bertin-Mahieux et al.;
Free Music Archive;Audio under Creative Commons from 100k songs (343 days, 1TiB) with a hierarchy of 161 genres, metadata, user data, free-form text.;Raw audio and audio features.;106,574;Text, MP3;Classification, recommendation;2017;[260];M. Defferrard et al.;
Bach Choral Harmony Dataset;Bach chorale chords.;Audio features extracted.;5665;Text;Classification;2014;[261][262];D. Radicioni et al.;
