Client;Primary developers;Cost;Software license;User interface;Programming language;Computing platform;Website;
AndroidChat[1];;Free software;GNU GPL;TUI, GUI;Java;Android;[1];
Mobile Colloquy;Kiji Roshi;US$1.99;BSD License;GUI;Objective-C;iOS;[2];
fIRC;Laurence Muller;Free software;GNU GPL;GUI;Java;Android;[3];
IRCCloud;IRCCloud Ltd.;Freeware[2];?;GUI;?;iOS, Android;[4];
jmIrc;Juho Vähä-Herttua;Free software;GNU GPL;GUI;Java;Java ME;[5];
k-IRC;Armond Avanes;Free software;GNU GPL;GUI;Java;Java ME;[6];
microirc;;Free software;GNU GPL;GUI;C ?;Windows Mobile 5 (and above);[7];
Virca;;Free software;GNU GPL;TUI;Java;Java ME;[8];
wIRC;;Free software;GNU GPL;GUI;C & JavaScript;WebOS;[9];
WLIrc;Sverre Kristian Valskrå;Free software;GNU LGPL;GUI;Java;Java ME;[10];
Yaaic;Sebastian Kaspari;Free software;GNU GPL;GUI;Java;Android;[11];
Simple IRC;The Linux Geek;Free software;GNU GPL;GUI;Java;Android;[12];
zsIRC;Gargaj;Free software;3-clause BSD;GUI;C++;Windows Mobile;[13];
Client;Primary developers;Cost;Software license;User interface;Programming language;Computing platform;Website;
