Medieval Spanish and Portuguese;Modern Portuguese1,2;Modern Spanish1;
Spelling;Pronunciation;Pronunciation;Examples;Spelling;Pronunciation;Examples;
s-, -ss-;/s/;/s/;saber 'to know', passar 'to pass';s;/s/;saber, pasar;
-s-;/z/;/z/;casa 'house';casa;
ç/c;/ts/;/s/;açor 'hawk', cego 'blind';z/c;/?/ or /s/;azor, ciego;
z;/dz/;/z/;fazer 'to do';hacer;
x;/?/;/?/;oxalá 'I hope; God grant';j/g;/x/;ojalá;
j/g;/d? ~ ?/;/?/;jogar 'to play', gente 'people';jugar, gente;
ch;/t?/;/?/;chuva 'rain';ch;/t?/;chubasco 'cloudburst' (from Port. chuvasco);
