Name;Operating system;License;User interface;Fixed drives;USB, eSATA and removable drives;RAID support[a];Shows S.M.A.R.T. attributes;Hard drive self-testing;Notification;Notes;
AIDA64;Windows;Trialware[1];GUI;(S)ATA;most USB;Some RAID controllers;Yes;No;Monitoring only available in the Business Edition[2];;
Argus Monitor;Windows;Trialware[3];GUI;IDE(PATA), SATA;eSATA, USB;Some RAID controllers;Yes;?;By window, sound, email, program execution at choosable parameter changes, threshold;Also shows temperature of CPU, GPU, CPU core speed, Intel Turbo Boost status, CPU power consumption, system load and system fan speeds. Can control speed of GPU and system fans.;
Defraggler;Windows;Freeware;GUI;IDE(PATA), SATA;eSATA, USB;No;Yes;No;No;Primarily a defragmenter; supports basic S.M.A.R.T. stat display, includes the one-word summary of drive-health.;
Disk Utility;macOS;Commercial proprietary;GUI;No;eSATA and removable drives;?;No;No;No;Summary information includes one line for S.M.A.R.T.[4];
GNOME Disks;Linux;LGPL v2+;GUI;IDE(PATA), SATA;USB (when used with Live CD);?;Yes;Yes;GNOME pop-up notification;LiveCDs are available for download, allowing the user to use GNOME Disks without any changes to the computer.;
smartmontools[5];Windows, Unix-like (Linux, macOS, BSD, etc.);GNU GPL v2;CLI and GUI (via GSmartControl and HDD Guardian);All for Linux, some for other Unix-like;See list of supported devices;[6] SAT driver required on macOS only[7];Several RAID controllers[8];Yes;Yes;window, sound, email, program execution at choosable parameter changes, threshold;LiveCDs are available for download, allowing the user to use smartmontools without any changes to the computer.;
Speccy;Windows;Freeware;GUI;IDE(PATA), SATA;No[9];?;Yes;No;No;;
SpeedFan;Windows;Freeware;GUI;(S)ATA, SCSI, SAT; Areca, 3ware;Yes;Some RAID controllers;Yes;Yes;Window, sound, e-mail, running a command; at parameter changes, threshold, temperature;Estimate health and performance by percentage, and offers online drive analysis (and compares from other users).;
SpinRite;DOS, FreeDOS;Commercial proprietary;GUI;?;?;?;Yes[10];Yes;No;;
Name;Operating system;License, price;User interface;Fixed drives;USB, eSATA and removable drives;RAID support[a];Shows S.M.A.R.T. attributes;Hard drive self-testing;Notification;Notes;
