Aspect;Esperanto;Ido;
Alphabet;uses diacritics (?, ?, ?, ?, ?, ?);uses digraphs (ch, sh, qu);
Gender;masculine by default; feminine optional;gender-neutral by default; masculine and feminine optional;
Antonyms;formed by -mal prefix;come from natural vocabulary;
Infinitives;-i suffix;-ar suffix;
Plural noun;-oj suffix (agglutinative);-i suffix (synthetic);
Imperative;-u suffix;-ez suffix;
Adjectives;Agree with nouns;Not declined;
Accusative declination;Mandatory;Only when object precedes subject;
Proper nouns;Sometimes rendered;Never rendered;
No of speakers;c. 100,000–2,000,000;c. 100–1,000;
