Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly;Alexa Traffic Rank;
The Pirate Bay;None;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;106[5];
Rarbg;None;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;No;266[6];
YTS.AM[7];Movies;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;308[8];
1337x[9];None;No;Yes;Yes;No;No;No;Yes;Yes;No[10];No;320[11];
Rutracker;None;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;327[12];
Limetorrents[13];None;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;1,266[14];
Torrents.me[15];Search;No;Yes;Yes;No;No;Yes;Yes;No;No;No;2,264[16];
Zooqle[17];Search;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;2,330[18];
Torrent downloads[19];None;No;Yes;Yes;No;No;No;Yes;No;No;No;2,421[20];
IPTorrents[21];None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;2,460[22];
Demonoid;None;Yes;Yes;Yes;No;Yes;Yes;Yes;?;?;Yes;3,970[23];
YourBittorrent;None;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No[24];No;4,131[25];
Torlock[26];No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No[27];?;4,945[28];
torrentleech.org[29];No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;7,803[30];
Empornium;Pornography;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;9,755[31];
isoHunt;None;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No[32];No;17,317[33];
HDBits[34];Movies;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;25,941[35];
Worldwidetorrents.me[36];None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;26,688[37];
ETTV[38];None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;31,902[39];
RevolutionTT[40];None;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;32,860[41];
apollo.rip[42];Music;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;46,738[43];
ETtorrent;None;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;56,150[44];
Waffles[45];Music;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;74,558 [46];
AnimeSuki;Anime & otaku subculture[47];No;Yes[48];Yes;Yes;Yes;No;No;No;?;?;93,843[49];
etree;Live concerts;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;?;?;97,818[50];
MovieMagnet[51];Movies;No;Yes;Yes;No;Yes;Yes;Yes;No;No;?;349,627[52];
NyaaV2;CJK contents, especially otaku subculture like anime;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;560[53];
Site;Specialization;Is a tracker;Directory;Public;RSS;One-click download;Sortable;Comments;Multi-tracker index;Ignores DMCA;Tor friendly;Alexa Traffic Rank;
