Name;Developer;Software license;Latest stable software release;Operating system;Year (not dynamic, but easier for sorting);
ABC;various;PSFL;3.1 (October 2, 2005; 13 years ago (2005-10-02)[5]);Windows, Linux;2005;
Acquisition;Acquisition;Proprietary;2.2 (v223) (November 19, 2010; 8 years ago (2010-11-19)) [±];macOS;2010;
BitComet;BitComet Development Group;Proprietary, Adware;1.51 (June 12, 2018; 6 months ago (2018-06-12)) [±][6];Windows;2018;
BitLet;various;ASL;?;(Java runtime);2015;
BitLord;House of Life;Proprietary, Adware installs WhenU adware;Windows: 2.4.5 (February 13, 2017; 21 months ago (2017-02-13)) [±] macOS: 2.4.4-308 (June 25, 2016; 2 years ago (2016-06-25)) [±];Windows, macOS;2017;
BitTornado;John Hoffman;MIT;0.3.17 (October 19, 2006; 12 years ago (2006-10-19)) [±];Windows, macOS, Linux, BSD;2006;
Windows;Mac;Android;BitTorrent;BitTorrent;Proprietary, Adware;Windows 7.10.4.44847 / November 2, 2018; 46 days ago (2018-11-02)[7] Mac 7.4.3.43797 / November 15, 2018; 33 days ago (2018-11-15)[8] Android 5.3.3 / September 10, 2018; 3 months ago (2018-09-10)[9];Windows;Mac;Android;7.10.4.44847 / November 2, 2018; 46 days ago (2018-11-02)[7];7.4.3.43797 / November 15, 2018; 33 days ago (2018-11-15)[8];5.3.3 / September 10, 2018; 3 months ago (2018-09-10)[9];Windows, macOS;2018;
Windows;7.10.4.44847 / November 2, 2018; 46 days ago (2018-11-02)[7];
Mac;7.4.3.43797 / November 15, 2018; 33 days ago (2018-11-15)[8];
Android;5.3.3 / September 10, 2018; 3 months ago (2018-09-10)[9];
BitTyrant;University of Washington;GPL;1.1.1 (September 7, 2007; 11 years ago (2007-09-07)[10]) [±];Windows, macOS, Linux;2007;
Blog Torrent;Downhill Battle;GPL;0.92 (April 20, 2005; 13 years ago (2005-04-20)) [±];Windows, macOS;2005;
Deluge;various;GPL;1.3.15 (May 12, 2017; 18 months ago (2017-05-12)) [±];Windows, macOS, Linux, BSD;2017;
FlashGet;Trend Media;Proprietary;3.7.0.1220 (May 17, 2013; 5 years ago (2013-05-17)[11]) [±];Windows;2013;
Folx;Eltima Software;Proprietary, Setapp;5.0.13709 (March 28, 2018; 8 months ago (2018-03-28)) [±][12] 5.0.13493 (May 26, 2016; 2 years ago (2016-05-26)) [±];macOS;2018;
Free Download Manager;alervd;Proprietary;5.1.37 (build 7274) (September 28, 2018; 2 months ago (2018-09-28)) [±][13];Windows, macOS;2018;
FrostWire;The FrostWire Project;GPL;6.7.1 (build 268) (July 24, 2018; 4 months ago (2018-07-24)) [±];Windows, macOS, Linux, Android;2018;
