Client;Creator;First public release date;Latest stable version;Software license;Copy files over 2 GB[1];
AbsoluteTelnet;Celestial Software;1996;9.49 July 2, 2012; 6 years ago (2012-07-02);Proprietary;Yes;
Beyond Compare;Scooter Software;1996;4.2.8 October 29, 2018; 44 days ago (2018-10-29);Proprietary;Yes;
Commander One;Eltima Software;2015;1.1 September 29, 2015; 3 years ago (2015-09-29);Proprietary;Yes;
CrossFTP Pro;CrossFTP Software;2006;1.98.7 December 19, 2017; 11 months ago (2017-12-19);Proprietary;Yes;
CuteFTP;Alex Kunadze/Globalscape;1994;9.3.0 (Windows) July 11, 2018; 4 months ago (2018-07-11) / 3.1.3 (Mac) May 2, 2014; 4 years ago (2014-05-02);Proprietary;Yes;
Directory Opus;GPSoftware;1990;11.10 December 19, 2014; 3 years ago (2014-12-19);Proprietary;Yes;
FlashFXP;OpenSight Software, LLC;1999;5.4.0.3970 April 1, 2017; 20 months ago (2017-04-01);Proprietary;Yes;
FTP Client;Vicomsoft;1997;5.0.1;Proprietary;Yes;
SmartFTP;SmartSoft Ltd;1998;6.0.2155.0 July 23, 2015; 3 years ago (2015-07-23);Proprietary;Yes;
Total Commander;Christian Ghisler;1993;9.21a August 21, 2018; 3 months ago (2018-08-21);Proprietary;Yes;
WebDrive;South River Technologies, Inc.;1998;2017 June 16, 2017; 17 months ago (2017-06-16);Proprietary;Yes;
WS_FTP;Ipswitch, Inc.;1996;12.5;Proprietary;Yes;
Yummy FTP;Yummy Software;2004;1.9.0 May 10, 2018; 6 months ago (2018-05-10);Proprietary, Setapp;?;
sFTP Client;sFTP Client Ltd;2013;3.1.6 August 18, 2018; 3 months ago (2018-08-18);Proprietary;Yes;
Desktop.Tech;Micro Formatica;2018;0.5.0 October 31, 2018; 42 days ago (2018-10-31);Proprietary;Yes;
