Model;Memory slots;Memory Max;User-replaceable HDD/SSD?;HDD/SSD bays;Expansion slots;
Mac Mini[1];No;16 GB;No;1;No;
iMac[2];None (21.5"), 4 (27");16 GB (21.5"), 64 GB (27");No;1;No;
Mac Pro[3];4;64 GB;No;1;No;
MacBook Air[4];No;8 GB;No;1;No;
MacBook;No;16 GB;No;No;No;
MacBook Pro (2017)[6];No;16 GB;No;No;No;
MacBook Pro (2015)[6];No;16 GB;No;1;No;
