;Description;Creator;First public release date;Latest stable version;Latest Stable Release Date;List Price (USD);Software license;
Ability Photopaint;Graphics editor with some advanced features;Ability Software;March 2001;4;;;Proprietary;
ACDSee;;;;19;;$59;Proprietary;
ACDSee Pro;;;;9;;$99;Proprietary;
ACDSee Ultimate;;;;9;;$149;Proprietary;
Acorn Image Editor;Image editor and graphics creator for macOS;Flying Meat Inc.;September 10, 2007;5.6.2;January 24, 2017;;Proprietary;
Adobe Fireworks*;Alternative to Photoshop targeted at web designers, discontinued after CS6;Macromedia;1998;CS6 / 12.0;May 7, 2012;Discontinued;Proprietary;
Adobe Photoshop;Professional image editor and graphics creation tool;Adobe Systems;February 19, 1990;CC 2018 / 19.1.6.784;August 22, 2018;$9.99/month;Proprietary;
Adobe Photoshop Elements;Raster graphics editor for entry-level photographers, image editors and hobbyists;;;14.0;September 24, 2015;$99;Proprietary;
Adobe Photoshop Lightroom;Photo editor;Adobe Systems;February 19, 2007;6.12;July 18, 2017;$9.99/month;Proprietary;
Affinity Photo;Professional image editor for Windows, macOS and iOS;Serif Europe;July 9, 2015;1.6.7;March 1, 2018;$49.99;Proprietary;
Autodesk SketchBook Pro;Paint and drawing toolset for use with digitized pen tablets & tablet computers;Autodesk;2004;2016 (4.1);;;Proprietary;
Artipic;Image editor for Windows and macOS;Artipic AB;2014;2.6;October 30, 2017;;Proprietary;
ArtRage;Digital paint program for tablet computers;Ambient Design;2004;4.5.1;;;Proprietary;
Artweaver;Emulates physical painting experience on a computer;Boris Eyrich;2002;3.0;;;Freeware;
Bibble*;Photo editor and organizer with camera raw file support;Bibble Labs;2000;5.2;;;Proprietary;
Bloom Image Editor;Procedural node-based image editor;Sad Cat Software;2015;1.0.181;;;Proprietary;
Brush Strokes Image Editor;Image editor like Windows Paint;Paul Bird;2004;2.0;;;Freeware;
Capture One;Professional raw converter and image editor;Phase One;2002;8.3;;;Proprietary;
Chasys Draw IES;Image Editor with layers, animation, icon edit, super-res, batch and camera raw;John Paul Chacha;2001;4.56.01;November 12, 2018;;Freeware;
CinePaint;Moving picture, photo and graphics editor;Robin Rowe;July 4, 2002;2011 (1.0);;;GPL;
CodedColor PhotoStudio Pro;An bitmap graphics editor and image organizer for Windows pc;1STEIN Corp.;2001;6.2;;;Proprietary;
Corel PaintShop Pro;Advanced image editor and graphics creator;Jasc Software;1992;X7;;;Proprietary;
Corel Painter;Made to create natural-looking artistic images;Mark Zimmer, Tom Hedges, John Derry;August 1991;15.1.0.740;January 12, 2016;;Proprietary;
