Model (Codename);Launch;Architecture (Fab);Transistors Die Size;Core;Fillrate[a][b][c];Processing power[a][d] (GFLOPS);Memory;TBP (W);Bus interface;Release Price (USD);
Config[e];Clock[a] (MHz);Texture (GT/s);Pixel (GP/s);Single;Double;Bus type & width;Size (MiB);Clock (MT/s);Band- width (GB/s);
Radeon R5 210[26] (Cedar);Unknown;Terascale 2 (40 nm);7008292000000000000?292×106 59 mm2;80:8:4;400;1.6;3.2;64;N/A;DDR3 64-bit;256;900;7.2;19;PCIe 2.1 ×16;OEM;
Radeon R5 220[26] (Caicos Pro);Unknown;7008370000000000000?370×106 67 mm2;80:8:4;625 650;2.5;5;200;N/A;DDR3 64-bit;1024;1066;8.53;18;OEM;
Radeon R5 230[27] (Caicos Pro);April 3, 2014[28];160:8:4;625;2.5;5;200;N/A;DDR3 64-bit;1024 2048;1066;8.53;19[29];Unknown;
Radeon R5 235[26] (Caicos XT);Unknown;160:8:4;775;3.1;6.2;248;N/A;DDR3 64-bit;1024;1800;14.4;35[30];OEM;
Radeon R5 235X[26] (Caicos XT);Unknown;160:8:4;875;3.5;7.0;280;N/A;DDR3 64-bit;1024;1800;14.4;18;OEM;
Radeon R5 240[26] (Oland);November 1, 2013[31];GCN 1st gen (28 nm);7009104000000000000?1040×106 90 mm2;320:20:8;730 780;5.84;14.6;467.2 499.2;29.2;DDR3 GDDR5 128-bit;1024 2048;1800 ?;28.8 ?;50;PCIe 3.0 ×8;OEM;
Radeon R7 240[32] (Oland Pro);August 8, 2013;320:20:8;730 780;5.84;14.6;467.2 499.2;29.2;DDR3 GDDR5 128-bit;2048;1800 4500;28.8 72;30;$69;
Radeon R7 250[32] (Oland XT);August 8, 2013;384:24:8;1000 (1050);8;24;768 806.4;48;DDR3 GDDR5 128-bit;1024 2048;1800 4600;73.6;75;$89;
Radeon R7 250E[33] (Cape Verde Pro);December 21, 2013;7009150000000000000?1500×106 123 mm2;512:32:16;800;12.8;25.6;819.2;51.2;GDDR5 128-bit;1024 2048;4500;72;55;PCIe 3.0 ×16;Unknown;
Radeon R7 250X[32] (Cape Verde XT);February 10, 2014;640:40:16;1000;16;40;1280;80;GDDR5 128-bit;1024 2048;4500;72;95;$99;
Radeon R7 260[32] (Bonaire);December 17, 2013;GCN 2nd gen (28 nm);7009208000000000000?2080×106 160 mm2;768:48:16;1000;16;48;1536;96;GDDR5 128-bit;1024;6000;96;95;$109;
Radeon R7 260X[32] (Bonaire XTX);August 8, 2013;896:56:16;1100;17.6;61.6;1971.2;123.2;GDDR5 128-bit;1024 2048;6500;104;115;$139;
Radeon R7 265[32] (Pitcairn Pro);February 13, 2014;GCN 1st gen (28 nm);7009280000000000000?2800×106 212 mm2;1024:64:32;900 925;28.8;57.6;1843.2;115.2;GDDR5 256-bit;2048;5600;179.2;150;$149;
Radeon R9 270[34] (Pitcairn XT);November 13, 2013;1280:80:32;900 925;28.8;72;2304 2368;144 148;GDDR5 256-bit;2048;5600;179.2;150;$179;
Radeon R9 270X)[34] (Pitcairn XT);August 8, 2013;1280:80:32;1000 1050;32;80;2560 2688;160 168;GDDR5 256-bit;2048 4096;5600;179.2;180;$199;
Radeon R9 280[34] (Tahiti Pro);March 4, 2014;7009431300000000000?4313×106 352 mm2;1792:112:32;827 933;26.5;92.6;2964 3343.9;741 836;GDDR5 384-bit;3072;5000;240;250;$249;
Radeon R9 280X[34] (Tahiti XTL)[35];August 8, 2013;2048:128:32;850 1000;27.2–32;109–128;3481.6 4096;870.4 1024;GDDR5 384-bit;3072;6000;288;250;$299;
Radeon R9 285[34] (Tonga Pro);September 2, 2014;GCN 3rd gen (28 nm);7009500000000000000?5000×106 359 mm2[36];1792:112:32;918;29.4;102.8;3290;206.6[37];GDDR5 256-bit;2048;5500;176[f];190;$249;
Radeon R9 290[34] (Hawaii Pro);November 5, 2013;GCN 2nd gen (28 nm);7009620000000000000?6200×106 438 mm2[39];2560:160:64;up to 947[g];60.608;151.52;4848.6;606.1;GDDR5 512-bit;4096;5000;320;250[41];$399;
Radeon R9 290X[34] (Hawaii XT);October 24, 2013 November 6, 2014[42];2816:176:64;1000[g];64;176;5632;704;GDDR5 512-bit;4096 8192;5000;320;250[41];$549;
Radeon R9 295X2[34][43] (Vesuvius);April 8, 2014;2× 7009620000000000000?6200×106 2× 438 mm2;2× 2816:176:64;1018;130.3;358.33;11466.75;1433.34;GDDR5 512-bit;2× 4096;5000;2× 320;500;$1499;
Model (Codename);Launch;Architecture (Fab);Transistors Die Size;Config[e];Clock[a] (MHz);Pixel (GP/s);Texture (GT/s);Single;Double;Bus type & width;Size (MiB);Clock (MT/s);Band- width (GB/s);TBP (W);Bus interface;Release Price (USD);
Core;Fillrate[a][b][c];Processing power[a][d] (GFLOPS);Memory;
