Name;Creator;First public release date;Latest stable version;Software license;
Ddoc;Walter Bright;2005/09/19;DMD 2.078.3;{{Free|Boost}};
Document! X;Innovasys;1998;2014.1;{{Nonfree|Proprietary}};
Doxygen;Dimitri van Heesch;1997/10/26;1.8.14;{{Free|GPL}};
Epydoc;Edward Loper;2002/01/—;3.0;{{Free|MIT}};
fpdoc (Free Pascal Documentation Generator);Sebastian Guenther;2005?;2.6.4;{{Free|GPL}};
Haddock;Simon Marlow;2002;2.13.1 (2012);{{Free|BSD}};
HeaderDoc;Apple Inc.;2000/09/—;8.9.28;{{Free|APSL}};
Imagix 4D;Imagix Corp.;1995;7.3;{{Nonfree|Proprietary}};
Javadoc;Sun Microsystems;1995;1.6;{{Free|GPL}};
JSDoc;Michael Mathews;2001/07/—;1.10.2;{{Free|GPL}};
JsDoc Toolkit;Michael Mathews;2007?;2.0.0;{{Free|MIT}};
mkd;Jean-Paul Louyot;1989;12.03 (2012);{{Free|EUPL}};
Natural Docs;Greg Valure;2003/05/26;1.52;{{Free|GPL}};
NDoc;Jason Diamond, Jean-Claude Manoli, Kral Ferch;2003/07/27;1.3.1;{{Free|GPL}};
Pandoc;John MacFarlane;2006;1.14.0.3 (2015);{{Free|GPL}};
perldoc;Larry Wall;1994;5.16.3;{{Free|Artistic, GPL}};
phpDocumentor;Joshua Eichorn;2000;1.4.4;{{Free|LGPL}};
pydoc;Ka-Ping Yee[1][2];2000;in Python core;{{Free|Python}};
RDoc;Dave Thomas;2001/12/14;in Ruby core;{{Free|Ruby}};
ROBODoc;Frans Slothouber;1995/01/19;4.99.36;{{Free|GPL}};
Sandcastle;Microsoft;2008/05/—;2014.5.31.0;{{Free|Ms-PL}};
Sphinx;Georg Brandl;2008/03/21;1.6.3;{{Free|BSD}};
Visual Expert;Novalys;1995;2017;{{Nonfree|Proprietary}};
VSdocman;Helixoft;2003 Oct 2;8.5;{{Nonfree|Proprietary}};
YARD;Loren Segal;2007/02/24;0.7.3;{{Free|MIT}};
Name;Creator;First public release date;Latest stable version;Software license;
