Distribution;x86;x86-64;ia64;ppc[62];ppc64;sparc32;sparc64;arm;hppa[63];loongson;mips[64];sh;s390;s390x;alpha[65];m68k[66];riscv;
Alpine Linux;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Arch Linux;{{yes}} Unofficial[67] Official discontinued 2017-11-08[68];{{yes}};{{no}};{{partial|Discontinued unofficial port}};{{no}};{{no}};{{no}};{{yes}} Unofficial[69];{{no}};{{partial|Discontinued. Unofficial port[70]}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BackTrack;{{partial|Discontinued from BackTrack 5 and superseded by Kali Linux[71]}};{{partial|Discontinued from BackTrack 5 and superseded by Kali Linux}};{{no}};{{no}};{{no}};{{no}};{{no}};{{partial|Discontinued from BackTrack 5 and superseded by Kali Linux}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BLAG;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Bodhi Linux;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{partial|Discontinued 2013-10-23}}[72];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BOSS Linux;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CentOS;{{partial|AltArch}};{{yes}};{{partial|Discontinued 3.5-3.8 4.1-4.7}}[73];{{partial|Beta, Discontinued 4.0}};{{partial|AltArch}};{{partial|Beta 4.2}}[73][74];{{no}};{{partial|AltArch}};{{no}};{{no}};{{no}};{{no}};{{partial|Discontinued 3.5-3.8 4.1-4.7}}[73][75];{{partial|Discontinued 3.5-3.8 4.1-4.7}}[73][75];{{partial|Discontinued 4.2-4.3}}[73][76][77];{{no}};
Chakra;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CRUX;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Debian[78];{{yes}};{{yes|Yes 4.0+}};{{partial|Discontinued 3.0-7.0}}[79];{{partial|Discontinued 2.2-8}};{{yes}};{{partial|Discontinued 2.1-4.0}}[80];{{partial|Discontinued -7[81]}};{{yes|Yes 2.2+}};{{partial|Discontinued 3.0-5.0}};{{yes}};{{yes|Yes 3.0+}};{{partial|In progress}};{{partial|Discontinued 3.0-7}};{{yes|Yes 7+}};{{partial|Discontinued 2.1-5.0}};{{partial|Discontinued 2.0-3.1}};{{partial|In progress[82]}};
