Client;CHAT;Whiteboard;SEND;RESUME;TSEND;SEND T;XMIT;Passive DCC;Server;RDCC;REVERSE;RSEND;Reverse / Firewall DCC;File servers (FSERVs);XDCC;VOICE;
Bersirc;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
BitchX;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
ChatZilla;{{yes}};{{no}};{{yes}};{{no}}[49];{{dunno}};{{dunno}};{{no}};{{no}}{{r|group=Note|planned}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};
Colloquy;{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
degesch;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
DMDirc;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};
ERC;{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
HexChat;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
HydraIRC;{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};
IceChat;{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};
ircII;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
