Client;Microsoft Windows;macOS;Linux;BSDs;Solaris;Other;
Cain and Abel;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Capsa Free Edition;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Carnivore;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Charles Web Debugging Proxy;{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Clusterpoint Network Traffic Surveillance System;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};Any virtual-machine compatible OS;
CommView;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
dSniff;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
EtherApe;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Ettercap;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
justniffer;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Kismet;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};
LANMeter;{{no}};{{no}};{{no}};{{no}};{{no}};Fluke proprietary hardware;
netsniff-ng;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
ngrep;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};AIX, BeOS, HP-UX, IRIX, Tru64 UNIX;
Microsoft Network Monitor;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Observer;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
OmniPeek (formerly AiroPeek, EtherPeek);{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
SteelCentral Transaction Analyzer;{{yes}};Version 3.5 capture agents on PowerPC only;GUI, plus version 3.5 capture agents;{{no}};Version 3.5 capture agents on SPARC only;Version 3.5 capture agents on AIX and PA-RISC HP-UX only;
snoop;{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
tcpdump;{{yes}} (WinDump);{{yes}};{{yes}};{{yes}};{{yes}};AIX, HP-UX, IRIX, Tru64 UNIX;
Tranalyzer;{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Wireshark (formerly Ethereal);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};AIX, HP-UX, IRIX, Tru64 UNIX;
Xplico;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
