Software;Word for Windows;Word for Mac;Pages;Apache OpenOffice / LibreOffice;Kile/LyX;Google Docs;RTF scan[30];Other;
Aigaion;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
Bebop;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
BibBase;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
BibDesk;{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Biblioscape;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{yes|WordPerfect}};
BibSonomy;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
Bibus;{{yes}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}};{{dunno}};{{no|none}};
Bookends;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes|Mellel, Nisus}};
Citavi;{{yes}};{{no}};{{no}};{{Depends|Only versions prior to 6.0}};{{yes}}[31];{{no}};{{Depends|Only versions prior to 6.0}};{{yes |LaTeX editors LEd, Texmaker, TeXnicCenter, TeXstudio, TeXworks, WinEdt, WinShell}};
CiteULike;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
colwiz;{{yes}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}};{{dunno}};{{yes|NeoOffice, Star Office}};
EndNote;{{Yes}};{{yes}};{{yes}};{{no}}[32];{{no}};{{no}};{{yes}};{{no}};
F1000Workspace;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|Manuscripts App}};
JabRef;{{yes}}[33];{{dunno}};{{dunno}};{{yes}}[34];{{yes}};{{no}};{{dunno}};{{yes|Emacs, Texmaker, TeXstudio, Vim, WinEdt}};
KBibTeX;{{no}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};{{dunno}};{{no|none}};
Mendeley;{{yes}};{{partial}}[35];{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{yes|NeoOffice}};
Paperpile;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Papers;{{yes}};{{yes}};{{Depends|Only versions prior to 5.0}};{{yes}};{{dunno}};{{no}};{{dunno}};{{yes|Mellel, TextEdit; HTML}};
Pybliographer;{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{no|none}};
Qiqqa;{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};{{no}};{{no|none}};
ReadCube;{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
refbase;{{no}};{{dunno}};{{dunno}};{{yes}}[36];{{no}};{{no}};{{yes}};{{yes|PIRA, MediaWiki, SPIP}};
RefDB;{{no}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
Reference Manager;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no|none}};
Referencer;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
RefWorks;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no|none}};
SciRef;{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
Sente;{{yes}};{{dunno}};{{Depends|Only versions prior to 5.0}};{{no}};{{no}};{{no}};{{yes}};{{yes|Mellel, Nisus, TextEdit; HTML and plain text scan}};
Wikindx;{{no}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};{{yes|Integrated WYSIWYG word processor (RTF output for Word/OpenOffice)}};
WizFolio;{{yes}};{{dunno}};{{dunno}};{{yes}};{{no}};{{yes}};{{dunno}};{{yes|Zoho Writer}};
Zotero;{{yes}};{{yes}};{{No}};{{yes}};{{depends|(with LyZ)[37]}};{{yes}};{{yes}};{{yes|NeoOffice}};
