Client;Creator;First public release date;Latest stable version;Software license;Copy files over 2 GB[1];
CoreFTP;CoreFTP.com;2003;2.2 (build 1751) {{Start date and age|2012|06|27}};Freeware;{{yes}};
Fetch;Fetch Softworks;1989;5.7.7 {{Start date and age|2017|12|2}};Proprietary;{{yes}};
Monsta FTP;Monsta Limited;2013;2.8 {{Start date and age|2018|8|6}};Proprietary;{{yes}};
Secure FTP;Glub Tech;1999;2.6.2 {{Start date and age|2013|7|27}};Apache;{{yes}};
Sysax FTP Automation;Codeorigin, LLC;2005;5.31 {{Start date and age|2012|04|12}};Proprietary;{{yes}};
Xftp;Netsarang Computer, Inc.;2004;6.0 Build 0103 {{Start date and age|2018|12|11}};Proprietary;{{yes}};
sFTP Client;sFTP Client Ltd;2013;3.1.6 {{Start date and age|2018|08|18}};Proprietary;{{yes}};
