;Editing style[1];Native operating systems;Latest stable version;Costs;License;Configurable;Integrated viewer;;
AUCTeX;Source;Linux, macOS, Windows;12.1 (2017-12-10);{{free}};{{free|GPL}};{{yes}};{{yes}};AUCTeX;
  Authorea;Source / partial-WYSIWYG;Online;{{N/A}};{{free}};{{proprietary}};{{yes}};{{yes}};  Authorea ;
Auto-Latex Equations for Google Docs;Source;Online;8.04 (2016-1-6);{{free}};{{free}};{{yes}};{{yes}};Auto-Latex Equations for Google Docs;
CoCalc;Source;Online;{{N/A}};{{free|Free}};{{free|AGPL}};{{yes}};{{yes}};CoCalc;
Gummi;Source;Linux;0.6.6 (2016-01-27);{{free}};{{free|MIT}};{{yes}};{{yes}} (Live update);Gummi;
Kile;Source;Linux (macOS, Windows)[2];2.1.3 (2012-09-23);{{free}};{{free|GPL}};{{yes}};{{yes}} (Quick preview);Kile;
GNOME-LaTeX;source;Linux;3.30 (2018-07-16);{{free}};{{free|GPL}};{{yes}};{{no}};GNOME-LaTeX;
LEd;Source;Windows;0.53 (2009-10-09);{{free}};{{proprietary}};?;{{yes}} (dvi);LEd;
LyX;WYSIWYM;Linux, macOS, Windows;2.3.0 (2018-03-16);{{free}};{{free|GPL}};{{yes}};{{yes}} (InstantPreview);LyX;
MeWa;Source;Windows;1.4.0 (2007-06-06);{{free}};{{free|GPL}};{{yes}};{{no}};MeWa;
Notepad++;Source;Windows;7.5.7 (2018-06-30);{{free}};{{free|GPL}};{{yes}};{{no}}, but can be integrated [3];Notepad++;
Scientific WorkPlace;WYSIWYM;Windows;6.0.12 (2016-02-23);{{nonfree|cost}};{{proprietary}};{{yes}};{{yes}} (TrueTex®);Scientific WorkPlace;
ShareLaTeX;Source;Online;{{N/A}};{{free}};{{free|AGPL}};{{yes}};{{yes}};ShareLaTeX;
TeXmacs;WYSIWYG;Linux, macOS, Windows;1.99.6 (2017-12-21);{{free}};{{free|GPL}};{{yes}};{{yes}};TeXmacs;
Texmaker;Source;Linux, macOS, Windows;5.0.3 (2018-11-01);{{free}};{{free|GPL2}};{{yes}};{{yes}};Texmaker;
TeXnicCenter;Source;Windows;{{Latest stable software release/TeXnicCenter}};{{free}};{{free|GPL}};{{yes}};{{no}};TeXnicCenter;
TeXShop;Source;macOS;4.14 (2018-11-02);{{free}};{{free|GPL}};{{yes}};{{yes}} (InstantPreview with Flashmode);TeXShop;
TeXstudio;Source;Linux, Windows, macOS;2.12.10 (2018-07-06);{{free}};{{free|GPL2}};{{yes}};{{yes}} (pdf, selection with dvi2png);TeXstudio;
TeXworks;Source;Linux, macOS, Windows;0.6.2 (2016-04-30);{{free}};{{free|GPL}};{{no}};{{yes}} (pdf);TeXworks;
Verbosus;Source;Online, Android,[4] iOS[5];4.1.3 (2016-05-06);{{free}}[6];{{proprietary}};{{yes}};{{yes}} (pdf);Verbosus;
WinEdt;Source;Windows;10.2 (2017-04-13);{{nonfree|cost}};{{proprietary}};{{yes}};{{no}};WinEdt;
WinShell;Source;Windows;3.3.2.6 (2013-02-10);{{free}};{{proprietary}};{{yes}};{{no}};WinShell;
Editing Style;Native Operating Systems;Latest stable version;Costs;License;Configurable;Integrated viewer;;;
