Feature / Framework;Adobe Flex built-in charts;Axiis;BirdEye;Flare;Flexmonster;IBM ILOG Elixir;Kap IT Labs;yFiles;amCharts;
3D charts;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};
Rotate, zoom chart in 3D;{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Show-up & other animation effects;{{yes}};{{no}};{{partial}} (only for Dependency Graph);{{yes}};{{partial}} (only for Pie Chart);{{yes}};{{no}};{{yes}};{{yes}};
Interactive legend;{{partial|Via customization}};{{no}};{{no}};{{no}};{{no}};{{partial|Via customization}};{{yes}};{{no}};{{yes}};
Show total values over the bars;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
String formater for labels;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};
Ability to define custom color for each bar (chart item);{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};
Combined charts;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};
Multiple axis;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};
