Implementation;Block cipher with mode of operation;Stream cipher;
IDEA CBC {{refn|group="n"|name="removal_from_tls1.2"|IDEA and DES have been removed from TLS 1.2.[134]}}(insecure)[135];DES CBC (insecure) [136];DES-40 CBC (EXPORT, insecure) [137];RC2-40 CBC (EXPORT, insecure) [137];RC4-128 (insecure) [138];RC4-40 (EXPORT, insecure) [139][137];
BearSSL;{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};
Botan;{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{Yes|No}}[140];{{yes|No}};
BoringSSL;{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|Disabled by default at compile time}};{{yes|No}};
CryptoComply;{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};
cryptlib;{{yes|No}};{{yes|Disabled by default at compile time}};{{yes|No}};{{yes|No}};{{yes|Disabled by default at compile time}};{{yes|No}};
GnuTLS;{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|Disabled by default}}[23];{{yes|No}};
JSSE;{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}} [141];
LibreSSL;{{no|Yes}};{{no|Yes}};{{yes|No}}[27];{{yes|No}}[27];{{no|Yes}};{{yes|No}}[27];
MatrixSSL;{{no|Yes}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|Disabled by default}};{{yes|No}};
mbed TLS;{{yes|No}};{{yes|Disabled by default at compile time}};{{yes|No}};{{yes|No}};{{yes|Disabled by default at compile time}}[30];{{yes|No}};
NSS;{{no|Yes}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{Partial|Lowest priority}}[142][143];{{yes|Disabled by default}};
OpenSSL;{{yes|Disabled by default}}[36];{{yes|Disabled by default}};{{Yes|No}}[36];{{Yes|No}}[36];{{yes|Disabled by default}};{{Yes|No}}[36];
RomSTL;{{no}};{{yes|Disabled by default}};{{no}};{{no}};{{no}};{{no}};
RSA BSAFE Micro-Edition Suite;{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|Disabled by default}};{{yes|No}};
RSA BSAFE SSL-J;{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};
rustls;{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};{{yes|No}};
SChannel XP/2003;{{yes|No}};{{no|Yes}};{{no|Yes}};{{no|Yes}};{{no|Yes}};{{no|Yes}};
SChannel Vista/2008;{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{no|Yes}};{{yes|Disabled by default}};
SChannel 7/2008R2;{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{Partial|Lowest priority will be disabled soon}}[144];{{yes|Disabled by default}};
SChannel 8/2012;{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{Partial|Only as fallback}};{{yes|Disabled by default}};
SChannel 8.1/2012R2;{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}}[144];{{yes|Disabled by default}};
Schannel 10[133];{{yes|No}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}}[144];{{yes|Disabled by default}};
Secure Transport OS X 10.6;{{no|Yes}};{{no|Yes}};{{no|Yes}};{{no|Yes}};{{no|Yes}};{{no|Yes}};
Secure Transport OS X 10.7;{{no|Yes}};{{unknown}};{{unknown}};{{unknown}};{{no|Yes}};{{unknown}};
Secure Transport OS X 10.8-10.9;{{no|Yes}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{no|Yes}};{{yes|Disabled by default}};
Secure Transport OS X 10.10-10.11;{{no|Yes}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{Partial|Lowest priority}};{{yes|Disabled by default}};
Secure Transport macOS 10.12;{{no|Yes}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};{{yes|Disabled by default}};
wolfSSL;{{yes|Disabled by default}}[145];{{yes|No}};{{yes|No}};{{yes|No}};{{yes|Disabled by default}};{{yes|No}};
Erlang/OTP SSL application;{{yes |no}};{{yes |Disabled by default}};{{yes |no}};{{yes|no}};{{yes |Disabled by default}};{{yes|no}};
Implementation;Block cipher with mode of operation;Stream cipher;
IDEA CBC [136](insecure)[135];DES CBC (insecure) [136];DES-40 CBC (EXPORT, insecure) [137];RC2-40 CBC (EXPORT, insecure) [137];RC4-128 (insecure) [138];RC4-40 (EXPORT, insecure) [139][137];
