Desktop publishing software;Developer(s);Latest stable version;Initial release;License;
CorelDRAW;Corel;X8 (18.0) ({{Start date and age|2016|03|15}});{{Start date|1989}};{{nonfree| Commercial, proprietary}};
Fatpaint (Cloud-based);Mersica Inc.;1.98 ({{Start date and age|2011|08|19}});{{Start date|2010}};{{nonfree| Freeware}};
FrameMaker;Adobe Systems;12.0.3 ({{Start date and age|2014|09|25}});{{Start date|1986}};{{nonfree| Commercial, proprietary}};
InDesign;Adobe Systems;CC 2014 (10.0.0.70) ({{Start date and age|2014|06|18}});{{Start date|1999}};{{nonfree| Commercial, proprietary}};
InPage;InPage Team;3.0 ({{Start date and age|2008}});{{Start date|1994}};{{nonfree| Commercial, proprietary}};
iStudio Publisher;iStudio Software;1.3 ({{Start date and age|2017|02|03}});{{Start date|2009}};{{nonfree| Commercial, proprietary}};
LyX;The LyX Team;2.1.2.2 ({{Start date and age|2014|11|17}});{{Start date|1995}};{{Free|GPL}};
Microsoft Publisher;Microsoft Corporation;16.0 ({{Start date and age|2015|09|22}});{{Start date|1991}};{{nonfree| Trialware}};
Apache OpenOffice Writer;Apache Software Foundation and others;4.1.1 ({{Start date and age|2014|08|21}});{{Start date|2002}};{{Free|Apache License 2.0 (Apache OpenOffice 3.4 and later)}};
LibreOffice;The Document Foundation;{{Latest stable software release/LibreOffice}};{{Start date|2011}};{{Free|LGPL v3}};
PageMaker*;Adobe Systems;7.0.2 ({{Start date and age|2004|03|30}});{{Start date|1985}};{{nonfree| Commercial, proprietary}};
PagePlus;Serif Europe;X9 ({{Start date and age|2015|11|19}});{{Start date|1991}};{{nonfree| Commercial, proprietary}};
Pages;Apple Inc.;{{Latest stable software release/Pages}};{{Start date|2005}};{{nonfree| Commercial, proprietary}};
PageStream;Grasshopper LLC;5.0 ({{Start date and age|2005}});{{Start date|1986}};{{nonfree| Commercial, proprietary}};
QuarkXPress;Quark, Inc.;2017 ({{Start date and age|2017|04|16}});{{Start date|1987}};{{nonfree| Commercial, proprietary}};
RagTime;RagTime GmbH;6.5.2 ({{Start date and age|2010|05|21}});{{Start date|1984}};{{nonfree| Commercial, proprietary}};
Ready,Set,Go!;Diwan Software Limited;7.7.8b ({{Start date and age|2009|09}});{{Start date|1985}};{{nonfree| Commercial, proprietary}};
Scribus;The Scribus Team;1.5.2 ({{Start date and age|2016|05|17|df=yes}});{{Start date|2003}};{{Free|GPL}};
The Print Shop;Brøderbund;23.0 ({{Start date and age|2009}});{{Start date|1984}};{{nonfree| Commercial, proprietary}};
Ventura*;Corel;10.0 ({{Start date and age|2002}});{{Start date|1986}};{{nonfree| Commercial, proprietary}};
Desktop publishing software;Developer(s);Latest stable version;Initial release;License;
