;ZIP;TAR;gzip;bzip2;7z;xz;RAR;LHA/LZH;ACE;StuffIt;StuffIt X;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ;
7-Zip;{{yes}};{{yes}};{{yes}}{{Ref label|writing-7-Zip|14}};{{yes}}{{Ref label|writing-7-Zip|14}};{{yes}};{{yes}}{{Ref label|writing-7-Zip|14}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
ALZip{{Ref label|ALZip|6}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{no}};
Archive Manager;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}}{{Ref label|writing-archivemanager|12}};{{yes}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{no}};{{no}};
Archive Utility;{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Ark;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}}{{Ref label|writing-ark|10}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
B1 Free Archiver;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BetterZip;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
bsdtar/libarchive;{{yes}};{{yes}};{{yes}}{{Ref label|writing-bsdtar|15}};{{yes}}{{Ref label|writing-bsdtar|15}};{{yes}};{{yes}}{{Ref label|writing-bsdtar|15}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Commander One;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CRAX Commander;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Disk ARchiver;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Filzip;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{unk}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{no}};
FreeArc;{{no}};{{unk}};{{unk}};{{unk}};{{no}};{{unk}};{{no}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{yes}};{{unk}};{{unk}};{{unk}};{{no}};
GNU tar;{{no}};{{yes}};{{yes}}{{Ref label|tar-compression-w|1}};{{yes}}{{Ref label|tar-compression-w|1}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
iArchiver;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Info-ZIP;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
KGB Archiver;{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{unk}};{{no}};
