Spanish;Portuguese;English;
nuevo   {{IPA|[?nwe??o?]}};novo   {{IPA|[?novu]}};new (m. sg.);
nueva   {{IPA|[?nwe??a]}};nova   {{IPA|[?n?v?]}};new (f. sg.);
nuevos   {{IPA|[?nwe??o?s]}};novos   {{IPA|[?n?vu?]}};new (m. pl.);
nuevas   {{IPA|[?nwe??as]}};novas   {{IPA|[?n?v??]}};new (f. pl.);
