;Windows;OS X;Linux;BSD;Unix;
BeeBEEP;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Bit Chat;{{Yes}};{{No}};{{Yes}};{{No}};{{No}};
BORGChat;{{Yes}};{{No}};{{No}};{{No}};{{No}};
iChat;{{No}};{{Yes}};{{No}};{{No}};{{No}};
iptux;{{No}};{{No}};{{Yes}};{{No}};{{No}};
LinPopUp;{{No}};{{No}};{{Yes}};{{No}};{{No}};
Miranda IM;{{Yes}};{{No}};{{No}};{{No}};{{No}};
Qualia LAN Messenger;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};
Output Messenger;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};
