Name;License;Deployment;Platforms;
draw.io[22];free and open source;various;Any supported browser, Linux, Windows, macOS;
Cacoo (Software)[23];Proprietary;SaaS;Windows, macOS;
ConceptDraw PRO[24];Proprietary;Desktop;Windows, macOS;
Creately[25];Proprietary;Desktop;Cross Platform;
Archbee[26];Proprietary;SaaS;Linux, macOS, Windows;
Edraw Network Diagram[27];Proprietary;Desktop;Linux, Windows, macOS;
Microsoft Visio[28];Proprietary;Desktop;Windows;
MyDraw[29];Proprietary;Desktop;Windows, macOS;
SmartDraw[30];Proprietary;Desktop;Windows;
Lucidchart[31];Proprietary;SaaS;Linux, macOS, Windows;
Gliffy[32];Proprietary;SaaS;Linux, macOS, Windows;
