Server;Security; ;Dynamic content{{efn|name="Dynamic content"}};;
basic access authentication;digest access authentication;SSL/TLS https;virtual hosting;CGI;FCGI;SCGI;WSGI;Java Servlets;SSI;ISAPI;SSJS;Runs in user space or kernel space;Administration console;IPv6;HTTP/2;QUIC;
AOLserver;{{Yes}};{{No}};{{Yes}}{{efn|name="RSA BSAFE"}}{{efn|name="openSSL"}}{{efn|name="NSS"}}[1];{{Yes}};{{Yes}};{{No}};{{Unknown}};{{No}};{{No}};{{Yes}};{{Unknown}};{{Unknown}};user;{{Unknown}};{{Unknown}};{{Unknown}};{{Unknown}};
Apache HTTP Server;{{Yes}};{{Yes}};{{Yes}}{{efn|name="modules"}}{{efn|name="openSSL"}}[2]{{efn|name="GnuTLS"}}[3];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}}{{efn|name="modules"}};{{No}}{{efn|name="AJP"}};{{Yes}};{{Yes}}{{efn|name="mod_isapi"}};{{Unknown}};user;{{Yes}}{{efn|via Geronimo}};{{Yes}};{{Yes}};{{Unknown}};
Apache Tomcat;{{Yes}};{{Yes}};{{Yes}}{{efn|name="jsse"}}[4];{{Yes}};{{Yes}};{{No}};{{Unknown}};{{No}};{{Yes}};{{Yes}};{{No}}{{efn|name="ApacheTomcatISAPI"}};{{Unknown}};user;{{Yes}};{{Yes}}{{efn|name="RequiresJVMIPv6Support"}};{{Yes}};{{Unknown}};
Boa;{{No}};{{No}};{{Yes}}{{efn|with external patch}};{{Yes}};{{Yes}};{{No}};{{Unknown}};{{No}};{{No}};{{No}};{{No}};{{Unknown}};user;{{Unknown}};{{Yes}};{{Unknown}};{{Unknown}};
Caddy;{{Yes}};{{No}};{{Yes}};{{Yes}};{{partial}}{{efn|CGI implemented for WebSocket connections}};{{Yes}};{{No}};{{No}};{{No}};{{No}}{{efn|Same capabilities as SSI available with templates}};{{No}};{{No}};user;{{No}};{{Yes}};{{Yes}};{{Yes}};
Caucho Resin Server;{{Yes}};{{Yes}};{{depends|paid version}}{{efn|name="openSSL"}};{{Yes}};{{Yes}};{{Yes}};{{Unknown}};{{No}};{{Yes}};{{Yes}};{{No}};{{Unknown}};user;{{Yes}};{{Yes}};{{Unknown}};{{Unknown}};
Caudium;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Unknown}};{{No}};{{Yes}};{{Yes}};{{Unknown}};{{Unknown}};user;{{Yes}};{{Yes}}{{efn|name="CIPVN"}};{{Unknown}};{{Unknown}};
Cherokee HTTP Server;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Unknown}};user;{{Yes}};{{Yes}}[5];{{Unknown}};{{Unknown}};
HFS;{{Yes}};{{No}};{{Yes}} via Stunnel[6];{{No}};{{No}};{{No}};{{Unknown}};{{No}};{{No}};{{No}};{{Unknown}};{{Unknown}};user;{{Unknown}};{{No}};{{Unknown}};{{Unknown}};
Hiawatha HTTP Server;{{Yes}};{{Yes}};{{Yes}}{{efn|name="PolarSSL"}}[7];{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Unknown}};user;{{Yes}};{{Yes}};{{Unknown}};{{Unknown}};
IBM HTTP Server;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Unknown}};{{No}};{{No}};{{Yes}};{{No}};{{Unknown}};user;{{Yes}};{{Yes}};{{Unknown}};{{Unknown}};
