Spanish;Portuguese;English;
lunes (< Lat. {{sm|di?s l?nae}} 'Moon's day');Segunda-feira ('second {{sm|f?ria}}');Monday;
martes (< Lat. {{sm|di?s martis}} 'Mars' day');Terça-feira ('third {{sm|f?ria}}');Tuesday;
miércoles (< Lat. {{sm|di?s mercuri?}} 'Mercury's day');Quarta-feira ('fourth {{sm|f?ria}}');Wednesday;
jueves (< Lat. {{sm|di?s iovis}} 'Jupiter's day');Quinta-feira ('fifth {{sm|f?ria}}');Thursday;
viernes (< Lat. {{sm|di?s veneris}}, 'Venus' day');Sexta-feira ('sixth {{sm|f?ria}}');Friday;
sábado (< Lat. {{sm|sabbatum}} 'Sabbath');Saturday;
domingo (< Lat. {{sm|di?s dominica}} 'Lord's day');Sunday;
