;Union;Intersect;Except;Inner joins;Outer joins;Inner selects;Merge joins;Blobs and Clobs;Common Table Expressions;Windowing Functions;Parallel Query;System-versioned Tables;
4th Dimension;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ADABAS;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Adaptive Server Enterprise;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Advantage Database Server;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};
Altibase;{{yes}};{{yes}};{{yes|Yes, via MINUS}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{dunno}};
Apache Derby;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
ClustrixDB;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
CUBRID;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}}[69];{{dunno}};{{dunno}};
DB2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[107];{{yes}}[108];
Empress Embedded Database;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
EXASolution;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};
Firebird;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};
HSQLDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[109];{{yes}};{{yes}};{{no}};{{yes}}[109];{{dunno}};
H2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};experimental[110];{{no}}[111];{{dunno}};{{dunno}};
Informix Dynamic Server;{{yes}};{{yes}};{{yes|Yes, via MINUS}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[112];{{dunno}};
Ingres;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
InterBase;{{Yes}};{{dunno}};{{dunno}};{{Yes}};{{Yes}};{{dunno}};{{dunno}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Linter SQL RDBMS;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{dunno}};
LucidDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
MariaDB;{{yes}};{{yes|10.3+}}[113];{{yes|10.3+}}[114];{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}}[115];{{yes}}[116];{{no}}[117];{{yes}}[108];
MaxDB;{{Yes}};{{dunno}};{{dunno}};{{Yes}};{{Yes}};{{Yes}};{{no}};{{Yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft Access (JET);{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
Microsoft Visual Foxpro;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft SQL Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[118];{{yes}}[119];{{yes}}[108];
Microsoft SQL Server Compact (Embedded Database);{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};
Mimer SQL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};
MonetDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
MySQL;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes|8+}}[120];{{no}};{{no}}[117];{{no}}[108];
OpenBase SQL;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
OpenLink Virtuoso;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Oracle;{{yes}};{{yes}};{{yes|Yes, via MINUS}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} 1;{{yes}};{{yes}}[121];{{no}}[108];
Oracle Rdb;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Pervasive PSQL;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
Polyhedra DBMS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
PostgreSQL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|8.4+}}[122];{{yes}};{{yes}}[123];{{no}}[108];
Raima Database Manager;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
RDM Server;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};
SAP HANA;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
