Application;Creator;Software license;
Ashampoo Burning Studio;Ashampoo Software;{{Partial|Freemium}};
Alcohol 120%;Alcohol Soft;{{nonfree|Shareware}};
CDBurnerXP;Stefan Haglund, Fredrik Haglund;{{partial|Freeware}} [1];
cdrtools;Jörg Schilling;{{free|Open-source}} (CDDL parts are GPL);
DeepBurner;Astonsoft;{{partial|Freemium}};
ExpressBurn;NCH Software;{{partial|Freemium}};
ImgBurn;LIGHTNING UK!;{{Partial|Freeware}} [2];
InfraRecorder;Christian Kindahl;{{free|Open-source}} (GPL);
K3b;Sebastian Trüg, Christian Kvasny;{{free|Open-source}} (GPL);
Nero Burning ROM;Ahead Software;{{Nonfree|Shareware}};
UltraISO;EZB Systems;{{Nonfree|Shareware}};
X-CD-Roast;T. Niederreiter;{{free|Open-source}} (GPL);
Application;Creator;Software license;
