Program;Comic book;PDF;BMP;JPEG;PNG;TIFF;GIF;PSD;Other graphics file formats;
ACDSee;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};{{Yes|PSD}};ACDSee reads 9 compression formats and writes to 2, reads 33 video formats, and supports 61 image formats and writes to 16, including EMF, PCX, PIC, PICT, PSD, PSP, SGI, TGA, WMF, XBM, various camera formats among others;
Adobe Bridge;;;;;;;;;Displays all file types supported by Adobe Creative Suite;
Aperture;;{{Yes|PDF}};;{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};{{Yes|PSD}};PSD, OLY,{{citation needed|date=July 2015}} Various video formats including: AVI, MOV, MPEG;
CDisplay;{{Yes|CBZ, CBR, CBT, CBA}};;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};;{{Yes|GIF}};;;
Comix;{{Yes|CBZ, CBR, CBT}};;;{{Yes|JPEG}};{{Yes|PNG}};;;;...;
digiKam;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};;JPEG 2000, PCX, WMF, PNM, PPM, XCF, XPM, PGX, MPEG, MPO, MPE, AVI, MOV, ASF;
Eye of GNOME;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};;PNM, RAS, ICO, XPM, SVG;
F-Spot;;;;{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};;PPM, SVG;
FastPictureViewer;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};;{{Yes|PSD}};HD Photo, HDP, WDP, JPEG XR (+ RLE, DIB, ICO, MTIFF in the registered edition, as well as DjVu, TGA, PSD, HDR, DDS, EXR, J2K, PNM, PBM, PGM, PBM, LRPREV, JPS through additional WIC codecs from the optional FastPictureViewer Codec Pack or from 3rd parties);
FastStone Image Viewer;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};{{Yes|PSD}};loading of: JPEG 2000, PCX, WMF, ICO, CUR, TGA, CRW, saving to: JPEG 2000, PCX, TGA;
Geeqie;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};;ANI, APM, CUR, ICNS, ICO, JP2/JPC/JPX/J2K/JPF, JPS, MPO, PCX, PBM/PGM/PNM/PPM, QIF/QTIF (QuickTime Image Format), RAS (Sun Raster), SVG/SVGZ, TGA/TARGA, WBMP, WMF, XBM, XPM;
Gonvisor;{{Yes|CBZ, CBR, CBA, CB7}};{{Yes|PDF}};{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};;{{Yes|GIF}};;Opens images contained in rar, zip, ace and 7zip files.;
GraphicConverter;;{{Yes|PDF}};{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};{{Yes|PSD}};190 types read, 79 types saved;
gThumb;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};;;
Gwenview;;;{{Yes|BMP}};{{Yes|JPEG}};{{Yes|PNG}};{{Yes|TIFF}};{{Yes|GIF}};{{Yes|PSD}};MNG, SVG, XCF, RAW (NEF), etc.;
iPhoto;;;;{{Yes|JPEG}};{{Yes|PNG}};;{{Yes|GIF}};{{Yes|PSD}};RAW (All QuickTime supported images), PSD (Leopard), AVI (Leopard), MOV (Leopard);
