Vehicle;Origin;Manufacturer;Mass to … (kg);Launches {{small|(+ suborbital)}};Date of flight;
LEO;GTO;Other;First;Last;
Antares 110–130;{{USA}};Orbital;{{nts|5100}}[10];;{{nts|1500}} to SSO;{{nts|5}}[10];2013;2014;
Ariane 1;{{Flag|Europe}};Aérospatiale;{{nts|1400}};{{nts|1830}}[183];;{{nts|11}}[183];1979;1986;
Ariane 2;{{Flag|Europe}};Aérospatiale;;{{nts|2270}}[183];;{{nts|6}}[183];1986;1989;
Ariane 3;{{Flag|Europe}};Aérospatiale;;{{nts|2650}}[183];;{{nts|11}}[183];1984;1989;
Ariane 4 40;{{Flag|Europe}};Aérospatiale;{{nts|4600}}[183];{{nts|2105}};{{nts|2740}} to SSO;{{nts|7}}[183];1990;1999;
Ariane 4 42L;{{Flag|Europe}};Aérospatiale;{{nts|7000}}[183];{{nts|3480}};{{nts|4500}} to SSO;{{nts|13}}[183];1993;2002;
Ariane 4 42P;{{Flag|Europe}};Aérospatiale;{{nts|6000}}[183];{{nts|2930}};{{nts|3400}} to SSO;{{nts|15}}[183];1990;2002;
Ariane 4 44L;{{Flag|Europe}};Aérospatiale;{{nts|7000}}[183];{{nts|4720}};{{nts|6000}} to SSO;{{nts|40}}[183];1989;2003;
Ariane 4 44LP;{{Flag|Europe}};Aérospatiale;{{nts|7000}}[183];{{nts|4220}};{{nts|5000}} to SSO;{{nts|26}}[183];1988;2001;
Ariane 4 44P;{{Flag|Europe}};Aérospatiale;{{nts|6500}}[183];{{nts|3465}};{{nts|4100}} to SSO;{{nts|15}}[183];1991;2001;
Ariane 5 G;{{flag|Europe}};EADS Astrium;{{nts|18000}}[15];{{nts|6900}}[15];;{{nts|16}}[15];1996;2003;
Ariane 5 G+;{{flag|Europe}};EADS Astrium;;{{nts|7100}}[15];;{{nts|3}}[15];2004;2004;
Ariane 5 GS;{{flag|Europe}};EADS Astrium;{{nts|16000}}[184];{{nts|6600}}[15];;{{nts|6}}[15];2005;2009[185];
Ariane 5 ES;{{flag|Europe}};EADS Astrium;{{nts|21000}}[12];{{nts|8000}}[15];;{{nts|8}}[15];2008;2018;
ASLV;{{IND}};ISRO[186];{{nts|150}}[187];;;{{nts|4}}[187];1987;1994;
Athena I;{{USA}};Lockheed Martin;{{nts|795}}[188];{{nts|515}};;{{nts|4}}[189];1995;2001;
Athena II;{{USA}};Lockheed Martin;{{nts|1800}}[190];;;{{nts|3}}[191];1998;1999[192];
Atlas-Centaur;{{USA}};Lockheed;{{nts|1134}}[193];{{nts|2222}}[194];;{{nts|148}};1962;1983;
Atlas G;{{USA}};Lockheed;{{nts|5900}}[195];{{nts|2222}};1,179 to HCO[195];{{nts|7}}[195];1984;1989;
Atlas H/MSD;{{USA}};Lockheed;{{nts|3630}}[196];;;{{nts|5}};1983;1987;
Atlas I;{{USA}};Lockheed Martin;{{nts|5900}}[195];{{nts|2340}}[195];;{{nts|11}}[195];1990;1997;
Atlas II;{{USA}};Lockheed Martin;{{nts|6780}}[195];{{nts|2810}};2,000 to HCO[195];{{nts|10}}[195];1991;1998;
Atlas IIA;{{USA}};Lockheed Martin;{{nts|7316}}[195];{{nts|3180}};2,160 to HCO[195];{{nts|23}}[195];1992;2002;
Atlas IIAS;{{USA}};Lockheed Martin;{{nts|8618}}[195];{{nts|3833}};2,680 to HCO[195];{{nts|30}}[195];1993;2004;
Atlas IIIA;{{USA}};Lockheed Martin;{{nts|8686}}[195];{{nts|4060}};2,970 to HCO[195];{{nts|2}}[195];2000;2004;
Atlas IIIB/DEC;{{nowrap|{{USA}}}};Lockheed Martin;{{nts|10759}}[195];{{nts|4609}}[195];;{{nts|1}}[195];2002;2002;
Atlas IIIB/SEC;{{USA}};Lockheed Martin;{{nts|10218}}[197];{{nts|4193}}[195];;{{nts|3}}[195];2003;2005;
Black Arrow;{{nowrap|{{UK}}}};RAE;{{nts|73}}[198];;;{{nts|2}} (+2);1969[199];1971;
{{hs|Titan III}}Commercial Titan III;{{USA}};Martin Marietta;{{nts|13100}}[200];;;{{nts|4}};1990;1992;
Delta 0300;{{USA}};{{nobr|McDonnell Douglas}};;{{nts|340}}[201];{{nts|747}} to SSO[202];{{nts|3}}[203];1972;1973[204];
Delta 0900;{{USA}};McDonnell Douglas;{{nts|1300}}[205];;{{nts|818}} to SSO[203];{{nts|2}}[203];1972;1972;
Delta 1410;{{USA}};McDonnell Douglas;{{nts|340}}[206];;;{{nts|1}}[203];1975;1975;
Delta 1604;{{USA}};McDonnell Douglas;{{nts|390}}[207];;;{{nts|2}}[203];1972;1973;
Delta 1900;{{USA}};McDonnell Douglas;{{nts|1800}}[203];;;{{nts|1}}[203];1973;1973;
Delta 1910;{{USA}};McDonnell Douglas;{{nts|1066}}[208];;;{{nts|1}}[203];1975;1975;
Delta 1913;{{USA}};McDonnell Douglas;{{nts|328}}[209];;;{{nts|1}}[203];1973;1973;
Delta 1914;{{USA}};McDonnell Douglas;;{{nts|680}}[210];;{{nts|2}}[203];1972;1973;
Delta 2310;{{USA}};McDonnell Douglas;{{nts|336}}[211];;;{{nts|3}}[203];1974;1981;
Delta 2313;{{USA}};McDonnell Douglas;;;{{nts|243}} to GEO[212];{{nts|3}}[203];1974;1977;
Delta 2910;{{USA}};McDonnell Douglas;{{nts|1887}}[203];;;{{nts|6}}[203];1975;1978;
Delta 2913;{{USA}};McDonnell Douglas;{{nts|2000}}[213];{{nts|700}}[213];;{{nts|6}}[203];1975;1976;
Delta 2914;{{USA}};McDonnell Douglas;;{{nts|724}}[203];;{{nts|30}}[203];1974;1979;
Delta 3910;{{USA}};McDonnell Douglas;{{nts|2494}}[203];{{nts|1154}} with PAM-D;;{{nts|10}}[203];1980;1988;
Delta 3913;{{USA}};McDonnell Douglas;{{nts|816}}[214];;;{{nts|1}}[203];1981;1981;
Delta 3914;{{USA}};McDonnell Douglas;;{{nts|954}}[203];;{{nts|13}}[203];1975;1987;
Delta 3920;{{USA}};McDonnell Douglas;{{nts|3452}}[203];{{nts|1284}} with PAM-D;;{{nts|10}}[203];1982;1989;
Delta 3924;{{USA}};McDonnell Douglas;;{{nts|1104}}[203];;{{nts|4}}[203];1982;1984;
Delta 4925;{{USA}};McDonnell Douglas;{{nts|3400}}[215];{{nts|1312}}[203];;{{nts|2}}[203];1989;1990;
Delta 5920;{{USA}};McDonnell Douglas;{{nts|3848}}[216];;;{{nts|1}}[203];1989;1989;
Delta II 6920;{{USA}};McDonnell Douglas;{{nts|3983}}[203];;;{{nts|3}}[203];1990;1992;
Delta II 6925;{{USA}};McDonnell Douglas;;{{nts|1447}}[203];;{{nts|14}}[203];1989;1992;
Delta II 7320;{{USA}};Boeing IDS / ULA;{{nts|2865}}[203];;{{nts|1651}} to SSO;{{nts|12}}[203];1999;2015;
Delta II 7326;{{USA}};Boeing IDS;;{{nts|934}}[203];636 to TLI 629 to HCO;{{nts|3}}[203];1998;2001;
Delta II 7420;{{USA}};ULA;{{nts|3185}}[203];;{{nts|1966}} to SSO;{{nts|14}}[203];1998;2018;
Delta II 7425;{{USA}};Boeing IDS;;{{nts|1100}}[203];804 to HCO;{{nts|4}}[203];1998;2002;
Delta II 7426;{{USA}};Boeing IDS;;{{nts|1058}}[203];734 to TLI 711 to HCO;{{nts|1}}[203];1999;1999;
Delta II 7920;{{USA}};Boeing IDS / ULA;{{nts|5030}}[203];;{{nts|3123}} to SSO;{{nts|29}}[203];1998;2017;
Delta II 7925;{{USA}};Boeing IDS / ULA;;{{nts|1819}}[203];1,177 to TLI 1,265 to HCO;{{nts|69}}[203];1990;2009;
Delta II-H 7920H;{{USA}};Boeing IDS / ULA;{{nts|6097}}[203];;;{{nts|3}}[203];2003;2011;
Delta II-H 7925H;{{USA}};Boeing IDS / ULA;;{{nts|2171}};1,508 to HCO[203];{{nts|3}}[203];2003;2007;
Delta III 8930;{{USA}};Boeing IDS;{{nts|8292}}[203];{{nts|3810}};;{{nts|3}}[203];1998;2000;
Delta IV M;{{USA}};Boeing IDS;{{nts|9440}}[38];{{nts|4440}};{{nts|7690}} to polar;{{nts|3}}[39];2003;2006;
Delta IV M+(5,2);{{USA}};ULA;{{nts|11470}}[38];{{nts|5490}};{{nts|9600}} to polar;{{nts|3}}[39];2012;2018;
Diamant;{{FRA}};SEREB;{{nts|107}}[217][218];;;{{nts|12}};1965;1975;
Dnepr;{{UKR}};Yuzhmash;{{nts|3700}}[219];;;{{nts|22}}[219];1999;2015[220];
Energia[221];{{USSR}};NPO Energia;{{nts|100000}}[222];;{{nts|20000}} to GEO[222] 32,000 to TLI[222];{{nts|1}} (failed to orbit)[223];1987;1987;
Energia-Buran;{{USSR}};NPO Energia (Launcher) NPO Molniya (Orbiter);{{nts|30000}}[222] [224];;;{{nts|1}};1988;1988;
Falcon 1;{{USA}};SpaceX;{{nts|470}}[225];;;{{nts|5}}[225];2006;2009;
Falcon 9 v1.0;{{USA}};SpaceX;{{nts|10,450}}[226];{{nts|4,540}}[226];;{{nts|5}}[227];2010;2013;
Falcon 9 v1.1;{{USA}};SpaceX;{{nts|13,150}}[228][229];{{nts|4,850}}[229];;{{nts|15}}[227];2013;2016;
Feng Bao 1;{{CHN}};Shanghai Bureau ?2;{{nts|2,500}}[230];;;{{nts|8}} (+3)[231];1972;1981;
GSLV Mk.I(a);{{IND}};ISRO;{{nts|5000}}[58];{{nts|1540}}[232];;{{nts|1}}[232];2001;2001;
GSLV Mk.I(b);{{IND}};ISRO;{{nts|5000}}[58];{{nts|2150}}[232];;{{nts|4}}[232];2003;2007;
GSLV Mk.I(c);{{IND}};ISRO;{{nts|5000}}[58];;;{{nts|1}}[232];2010;2010;
H-I;{{JPN}} {{USA}};Mitsubishi;{{nts|1400}}[233];;;{{nts|9}};1986;1992;
H-II / IIS;{{JPN}};Mitsubishi;{{nts|10060}}[234];{{nts|4000}}[235];;{{nts|7}}[235];1994;1999;
H-IIA 2022;{{JPN}};Mitsubishi;;{{nts|4500}}[65];;{{nts|3}}[65];2005;2007;
H-IIA 2024;{{JPN}};Mitsubishi;{{nts|11000}}[236];{{nts|5000}}[65];;{{nts|7}}[65];2002;2008;
J-I;{{JPN}};Nissan Motors[237];{{nts|1000}}[238];;;{{nts|0}} (+1);1996;1996;
Kaituozhe-1;{{CHN}};CALT;{{nts|100}}[239];;;{{nts|2}};2002;2003;
Kosmos-3M;{{USSR}} {{RUS}};NPO Polyot;{{nts|1500}}[240];;;{{nts|442}}[241];1967;2010;
Lambda 4S;{{JPN}};Nissan Motors[237];{{nts|26}}[242];;;{{nts|5}};1966;1970;
Long March 1;{{CHN}};CALT;{{nts|300}}[243];;;{{nts|2}}[244];1970;1971;
