Camera model;Camera line;Manufacturer;Introduced;Weight;MOS/Sync;Noise Level;
Eyemo 71K;Eyemo;Bell and Howell;1925;{{convert|11|lb|abbr=on}};MOS;N/A;
Arriflex 35-2C;Arriflex 35-II;Arri;1964;{{convert|13.5|lb|abbr=on}}, with empty magazine;MOS;N/A;
Arriflex 35BL-1;Arriflex 35BL;Arri;1972;{{convert|28.5|lb|abbr=on}}, with empty magazine;Sync;26 dB;
Panaflex-X;Panaflex;Panavision;1974;{{convert|20.5|lb|abbr=on}};Sync;<24 dB;
Arriflex 35BL-2;Arriflex 35BL;Arri;1975;{{convert|28.5|lb|abbr=on}}, with empty magazine;Sync;26 dB;
Panaflex Gold II;Panaflex;Panavision;1976;{{convert|24.4|lb|abbr=on}}, with short eyepiece;Sync;<24 dB;
Arriflex 35BL-3;Arriflex 35BL;Arri;1980;{{convert|28.7|lb|abbr=on}}, with empty magazine;Sync;22 dB;
Arriflex 35-3C;Arriflex 35-III;Arri;1982;{{convert|8.8|lb|abbr=on}}; {{convert|13.5|lb|abbr=on}}, with empty magazine;MOS;N/A;
Moviecam SuperAmerica;Moviecam SuperAmerica;Moviecam;1984;{{convert|29|lb|abbr=on}};Sync;20 dB;
Arriflex 35BL-4;Arriflex 35BL;Arri;1986;{{convert|30.9|lb|abbr=on}}, with empty magazine;Sync;22 dB;
Panaflex Platinum;Panaflex;Panavision;1986;{{convert|24|lb|abbr=on}};Sync;<22 dB;
Panaflex Panastar II;Panaflex Panastar;Panavision;1987;{{convert|24.4|lb|abbr=on}};MOS;N/A;
Arriflex 35BL-4s;Arriflex 35BL;Arri;1988;{{convert|31.9|lb|abbr=on}}, with empty magazine;Sync;20 dB;
Arriflex 535;Arriflex 535;Arri;1990;{{convert|21.6|lb|abbr=on}}, body only; {{convert|29.4|lb|abbr=on}}, with finder; {{convert|36.4|lb|abbr=on}}, with finder and empty magazine;Sync;19 dB;
Moviecam Compact;Moviecam Compact;Moviecam;1990;{{convert|13.6|lb|abbr=on}};Sync;<20 dB;
Arriflex 535B;Arriflex 535;Arri;1992;{{convert|26|lb|abbr=on}}, with empty magazine;Sync;19 dB;
Arriflex 435;Arriflex 435;Arri;1995;{{convert|14.3|lb|abbr=on}}, without magazine;MOS;N/A;
Arriflex 435ES;Arriflex 435;Arri;1995;{{convert|14.3|lb|abbr=on}}, without magazine;MOS;N/A;
Moviecam SL;Moviecam SL;Moviecam;1995;{{convert|8.25|lb|abbr=on}};Sync;25 dB;
Aaton 35-III;Aaton 35;Aaton;1997;{{convert|16|lb|abbr=on}}, with full magazine and onboard battery;Sync;30 dB (4 perf), 26 dB (3 perf);
Panaflex Millennium;Panaflex Millennium;Panavision;1997;{{convert|17.5|lb|abbr=on}};Sync;<19 dB;
Panaflex Millennium XL;Panaflex Millennium;Panavision;1999;{{convert|11.8|lb|abbr=on}};Sync;<23 dB;
Arricam LT;Arricam;Arri;2000;{{convert|8.7|lb|abbr=on}}, body only; {{convert|11.56|lb|abbr=on}}, with finder;Sync;<24 dB;
Arricam ST;Arricam;Arri;2000;{{convert|11.9|lb|abbr=on}}, body only; {{convert|17.95|lb|abbr=on}}, with finder;Sync;<20 dB;
Arriflex 435 Advanced;Arriflex 435;Arri;2001;{{convert|14.3|lb|abbr=on}}, without magazine;MOS;N/A;
Aaton 35-3P;Aaton 35;Aaton;2002;{{convert|16|lb|abbr=on}}, with full magazine and onboard battery;Sync;30 dB (4 perf), 24 dB (3 perf);
Arriflex 235;Arriflex 235;Arri;2004;{{convert|7.7|lb|abbr=on}}, with viewfinder;MOS;N/A;
Arriflex 435 Xtreme;Arriflex 435;Arri;2004;{{convert|14.3|lb|abbr=on}}, without magazine;MOS;N/A;
Aaton Penelope;Aaton Penelope;Aaton;2008;{{convert|17|lb|abbr=on}}, with full magazine and onboard battery;Sync;23 dB (3 perf), 22 dB (2 perf);
