Client name;Encryption protocol;
AIM[88];{{dunno}};
BlackBerry Messenger[88];{{dunno}};
eBuddy[88];{{dunno}};
Gadu-Gadu;{{yes|TLS}}{{citation needed|date=July 2016}};
Google Hangouts[88];{{yes|TLS}}[170];
Kik Messenger[88];{{dunno}};
Skype[88][171];{{yes|TLS}}[172];
Snapchat[88];{{dunno}};
Tencent QQ[88];{{yes-no|A custom protocol}}[88];
Yahoo! Messenger[88];{{dunno}};
Echat[173];{{dunno}};
