Implementation;Application-defined;PKIX path validation[99];CRL[100];OCSP[101];DANE (DNSSEC)[102];Trust on First Use (TOFU);
BearSSL;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Botan;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Bouncy Castle;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
CryptoComply;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
cryptlib;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
GnuTLS;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
JSSE;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
LibreSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
MatrixSSL;{{yes}};{{yes}};{{yes}};{{yes}}[103];{{no}};{{no}};
mbed TLS;{{yes}};{{yes}};{{yes}};{{yes}}[104];{{no}};{{no}};
NSS;{{yes}};{{yes}};{{yes}};{{yes}};{{no}}[105];{{no}};
OpenSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
RomSTL;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};
RSA BSAFE;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
rustls;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
SChannel;{{unknown}};{{yes}};{{yes}}[106];{{yes}}[106];{{no}};{{no}};
Secure Transport;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
wolfSSL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Erlang/OTP SSL application;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
