File manager;Creator;First public version (date);Latest stable version (date, number);Cost;Software license;
Altap Salamander;Altap;{{Start date|1997|08|15}};{{Start date and age|2016|12|27}} (3.08);{{nonfree| US$30}};{{proprietary}};
Commander One;Eltima Software;{{Start date|2015|08|04}};{{Start date and age|2015|09|29}} (1.1);{{nonfree|US$29.95 (lite: free)}};{{proprietary}};
CRAX Commander;Soft4U2;{{Start date|2013|09|01}};{{Start date and age|2018|06|05}} (1.11.1);{{nonfree|US$19.99 (demo: free)}};{{proprietary}};
Directory Opus;Jonathan Potter, GPSoftware;Amiga: v1 (1990-01-03) Windows: v6 (2001-06-18);{{Start date and age|2018|10|6}} (12.10);{{nonfree|A$49 lite / A$89 pro}};{{proprietary}};
Dired;integral part of Emacs, part of the GNU project;1974?;{{Start date and age|2009|07|30}} (7.17);{{free}};{{free|GPL}};
Dolphin;KDE;{{Start date|2006|06|07}} (0.5);{{Start date and age|2017|6|8}} (17.04.2);{{free}};{{free|GPL}};
DOS Navigator;Ritlabs;1991 (0.90);1999 (1.51);{{free}};{{free|BSD original}};
DOS Shell;Microsoft / IBM;1988;1998;Part of MS-DOS / PC DOS;{{proprietary}};
Double Commander;alexx2000;2007;{{Start date and age|2018|06|3}} (0.8.3);{{free}};{{free|GPL}};
emelFM2;tooar;{{Start date|2003|09|06}};{{Start date and age|2014|02|18}} (0.9.1);{{free}};{{free|GPL}};
Explorer++;David Ercig;{{Start date|2008|01|08}};{{Start date and age|2013|02|03}} (1.3.5);{{free}};{{free|GPL}};
Far Manager;Eugene Roshal (original); Far Group;1996;{{Latest stable software release/FAR Manager|mf=y}};{{free}};{{free|BSD revised}};
File Commander;Brian Havard;1993;{{Start date and age|2011|03|03}} (2.40);{{nonfree|A$35.00}};{{proprietary}};
File Manager;Microsoft (Ian Ellison-Taylor);1990;{{Start date and age|1999|11|30}} (4.0.1381.318);Part of Windows;{{proprietary}};
GeoManager;Berkeley Softworks / GeoWorks Corporation / Breadbox Computer Company;1990;2009;Part of PC/GEOS;{{proprietary}};
Finder;Apple Inc.;{{Start date|1984|01}};{{Start date and age|2015|08|13}} (10.10.5);Part of macOS;{{proprietary}};
fman;Michael Herrmann;{{Start date|2016|07|18}};{{Start date and age|2018|08|08}} (1.1.7);{{nonfree|US$18 (Demo: free)}};{{proprietary}};
ForkLift;BinaryNights;{{Start date|2007|06|01}};{{Start date and age|2018|04|10}} (3.2.2);{{nonfree|US$29.95 (Demo: free)}};{{proprietary}};
Gentoo (file manager);Emil Brink;{{dunno}};{{Start date and age|2012|3|18}} (0.19.13);{{free}};{{free|GPL}};
GNOME Commander;GNOME Commander;{{Start date|2001|09}};{{Start date and age|2017|05|28}} (1.6.4);{{free}};{{free|GPL}};
Konqueror;KDE;{{Start date|2000|10}};{{Latest stable software release/KDE Software Compilation 4}};{{free}};{{free|GPL}};
Krusader;Krusader Krew;{{Start date|2000|07|11}};{{Latest stable software release/Krusader}};{{free}};{{free|GPL}};
Midnight Commander (mc);GNU Midnight Commander;< May 1994[1];{{Start date and age|2016|03|12}} (4.8.16);{{free}};{{free|GPL}};
muCommander;Maxence Bernard;{{Start date|2002|02|17}};{{Start date and age|2016|10|21}} (0.9.1);{{free}};{{free|GPL}};
GNOME Files (Nautilus);Eazel;{{Start date|2001|04|11}};{{Latest stable software release/GNOME}};{{free}};{{free|GPL}};
Nemo;Linux Mint, part of Cinnamon desktop environment;{{Start date|2012|07}} (1.0.0);December 11, 2018 (4.0.5)[2];{{free}};{{free|GPL}};
Nomad.NET;Eugene Sichkar;{{Start date|2008|08|14}} (2.2.0.537 beta);{{Start date and age|2016|06|13}} (3.2.0.2890);{{free}};{{proprietary}};
Norton Commander;Peter Norton Computing, later Symantec corporation;1986;{{Start date|1999|02|01}} (2.01 Windows DOS: 1998-07-01 (5.51));{{nonfree| ?}};{{proprietary}};
Path Finder (originally named SNAX);Cocoatech;{{Start date|2001|04}};{{Start date and age|2014|09|02}} (7);{{nonfree|US$39.95}};{{proprietary}};
PathMinder;Albert Nurick and Brittain Fraley;1984;1988 (4.11);{{nonfree|US$39.95}};{{proprietary}};
PCManFM;Hong Jen Yee;{{Start date|2006|01|09}};{{Start date and age|2016|2|21}} (1.2.4);{{free}};{{free|GPL}};
PC Shell;Central Point Software;1986;;Part of PC Tools for DOS;{{proprietary}};
ROX-Filer;Thomas Leonard et al.;Before {{Start date|2000|03|10}};{{Start date and age|2011|10|09}} (2.11);{{free}};{{free|GPL}};
SpaceFM;IgnorantGuru;{{Start date|2012|01|13}} (0.5.0);{{Start date and age|2016|1|20}} (1.0.5);{{free}};{{free|GPL}};
STDU Explorer;STDUtility;{{Start date|2009|03|23}};{{Start date and age|2012|05|24}} (1.0.465);{{free}};{{proprietary}};
Tabbles;Yellow blue soft UAB;{{Start date|2009|08|01}};{{Start date and age|2016|08|12}} (3.1.29);{{nonfree|US$29.95 (lite: free)}};{{proprietary}};
Thunar;Xfce;{{Start date|2006|01|22}};{{Start date and age|2018|06|06}} (1.8.0)[3];{{free}};{{free|GPL}};
Total Commander (originally named 'Windows Commander');Christian Ghisler;{{Start date and age|1993|09|25}} (1.00d);{{Start date and age|2018|08|21}} (9.21a);{{nonfree|CHF40, €37, US$42}} Nagware[4];{{proprietary}};
ViewMAX;Digital Research / Novell;1990 (1.0);1993 (3.0);Part of DR-DOS;{{free|GPL}};
Volkov Commander;Vsevolod Volkov;circa 1992;{{Latest stable software release/Volkov Commander}};{{depends|shareware / freeware}};{{proprietary}};
Windows Explorer (now 'File Explorer');Microsoft;{{Start date|1995|08|24}};{{Start date and age|2015|07|29}};Part of Windows;{{proprietary}};
WinSCP;WinSCP;{{Start date|2000|09|30}};{{Latest stable software release/WinSCP}};{{free}};{{free|GPL}};
Xandros File Manager;Xandros Corporation;{{dunno}};{{Start date and age|2007|07|26}} (4.2);{{nonfree|Part of Xandros Desktop}};{{proprietary}};
Xfe;Roland Baudin;2002;{{Start date and age|2016|07|28}} (1.42);{{free}};{{free|GPL}};
Xfile;Rixstep;{{Start date|2003|03|02}};{{Start date and age|2007|02|19}} (1.8.0);{{nonfree|US$79.00 (with 80+ other applications)}};{{proprietary}};
Xfm;Simon Marlow, Albert Gräf, Robert Vogelgesang, Juan D. Martin, Till Straumann;1992;{{Start date and age|2001|09}} (1.4.3);{{free}};{{free|GPL}};
xplorer²;Nikos Bozinis;{{Start date|2004|06|10}};{{Start date and age|2017|12|13}} (3.5.0.2);{{nonfree|US$29.95 (pro, lite: free, ultimate: US$49.95)}};{{proprietary}};
XTree;Jeffery C. Johnson;{{Start date|1985|04|01}};{{Start date and age|1992}} (Xtree for Windows);{{nonfree|US$39.95}};{{proprietary}};
XYplorer;Donald Lessau;1997;{{Start date and age|2018|10|29}} (19.30.0000);{{nonfree|US$39.95 (lite: free)}};{{proprietary}};
ZTreeWin;Kim Henkel;1996;{{Start date and age|2012|05|27}} (2.1.19) {{Start date and age|2013|05|26}} (2.4.121 beta) {{Start date and age|2017|05|31}} (2.4.172 zeta);{{nonfree|US$29.95 (1-4)}};{{proprietary}};
File manager;Creator;First public version (date);Latest stable version (date, number);Cost;Software license;
