IDE;Developer;Latest stable release;Platform;License;Autocomplete;Debugger;Refactoring support;VCS Support;
Adobe Dreamweaver;Adobe Systems;;Cross-platform;{{proprietary}};{{yes}};{{no}};{{no}};{{no}};
Aptana Studio;Aptana, Inc.;December 2013, 3.5.0;Cross-platform;{{yes|GPL, proprietary}};{{yes}};{{yes}};{{no}};{{yes|via plugins}};
CodeLite;CodeLite;October 2015, 9.0;Cross-platform;{{yes|GPL}};{{yes}};{{yes}};{{no}};{{yes|Git, SVN}};
Codelobster;Codelobster;March 2018, 5.14.5;Windows;{{proprietary}};{{yes}};{{yes}};{{no}};{{yes|via plugins}};
Eclipse Che;Eclipse Foundation / Zend;4.7 / September 2, 2016;Cross-platform;{{yes|EPL}};{{yes}};{{yes}};{{yes}};{{unk}};
Eclipse PDT;Eclipse Foundation / Zend;5.2 / December 20, 2017;Windows, Linux, macOS, FreeBSD, JVM, Solaris;{{yes|EPL}};{{yes}};{{yes}};{{yes}};{{yes|CVS, Git, Mercurial, SVN (via plugins)}};
Geany;Geany Team;1.27 / March 13, 2016;Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix;{{yes|GPL}};{{yes}};{{no}};{{no}};{{yes|via plugins}};
HTML-Kit;Chami.com;292;Windows (all);{{proprietary}};{{unk}};{{no}};{{unk}};{{unk}};
KDevelop;KDE KDevelop Team;{{Latest stable release/KDevelop}};Cross-platform;{{yes|GPL}};{{yes}};{{no}};{{unk}};{{yes|CVS, Git, SVN}};
Komodo IDE / Edit;ActiveState;10.0.1 (June 2016);Cross-platform;{{proprietary}};{{yes}};{{yes}};{{yes}};{{yes|Bazaar, CVS, Git, Mercurial, Perforce, SVN}};
NetBeans;Sun Microsystems / Oracle;9.0 / {{Start date and age|2018|07|29}}[38];Cross-platform on Netbeans;{{yes|CDDL, GPL}};{{yes}};{{yes}};{{yes}};{{yes|CVS, Git, Mercurial, SVN}};
PHPEclipse (Eclipse);PHPEclipse project team;1.2.2 / September 2009;Windows, Linux, macOS, FreeBSD, JVM, Solaris;{{yes|CPL}};{{yes}};{{yes}};{{unk}};{{unk}};
PhpED Professional;NuSphere Corporation;17.17022 / June, 2016;Windows;{{proprietary}};{{yes}};{{yes}};{{unk}};{{yes|CVS, SVN, any other Windows-shell integrated}};
PHPEdit;WaterProof SARL;{{LSR | article = | latest release version = 3.6.4 | latest release date = {{Start date and age|2010|04|09}} }};Windows;{{proprietary}};{{yes}};{{yes}};{{no}};{{yes|CVS, SVN}};
PhpStorm (IntelliJ IDEA);JetBrains;2018.3.1 / December, 2018;Windows, Linux, macOS, FreeBSD, OpenBSD, Solaris;{{proprietary}};{{yes}};{{yes}};{{yes}};{{yes|CVS, Git, Mercurial, Perforce, SVN}};
Quanta Plus;KDE Web Dev Team;3.5.8 / October 16, 2007;Linux;{{yes|GPL}};{{unk}};{{no}};{{unk}};{{unk}};
RadPHP (formerly Delphi for PHP);Embarcadero Technologies;XE2 / August 30, 2011;Windows;{{proprietary}};{{yes}};{{yes}};{{yes}};{{unk}};
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, AIX, HP-UX, Solaris;{{Proprietary}};{{Yes}};{{Yes}};{{No}};{{Yes}};
Zend Studio;Zend;10.6 / February 2014;Cross-platform;{{proprietary}};{{yes}};{{yes}};{{yes}};{{yes|CVS, Git, SVN, others (via plugins)}};
