Rank;Country and (Argentine provinces);Intl. $;
1;{{flag|Qatar}};86,008;
2;{{flag|Luxembourg}};82,441;
3;{{flag|Norway}};53,738;
4;{{flag|Singapore}};51,226;
5;{{flag|Brunei}};50,199;
6;{{flag|United States}};47,440;
—;{{flag|Hong Kong}};43,847;
7;{{flag|Switzerland}};43,196;
8;{{flag|Ireland}};42,110;
9;{{flag|Netherlands}};40,558;
10;{{flag|Iceland}};40,471;
11;{{flag|Kuwait}};39,915;
12;{{flag|Austria}};39,887;
13;{{flag|Canada}};39,098;
14;{{flag|United Arab Emirates}};38,894;
15;{{flag|Sweden}};37,334;
16;{{flag|Denmark}};37,304;
17;{{flag|Australia}};36,918;
18;{{flag|Belgium}};36,416;
19;{{flag|United Kingdom}};36,358;
20;{{flag|Finland}};36,320;
21;{{flag|Germany}};35,539;
22;{{flag|Bahrain}};34,662;
23;{{flag|France}};34,205;
24;{{flag|Japan}};34,116;
25;{{flag|China, Republic of}} (Taiwan);30,912;
26;{{flag|Greece}};30,681;
27;{{flag|Italy}};30,631;
28;{{flag|Spain}};30,589;
29;{{flag|Cyprus}};29,853;
30;{{flag|Slovenia}};29,521;
31;{{flag|Israel}};28,474;
32;{{flag|The Bahamas}};27,735;
33;{{flag|South Korea}};27,692;
34;{{flag|New Zealand}};27,083;
—;Santa Cruz;26,438;
—;Tierra del Fuego;25,993;
35;{{flag|Czech Republic}};25,118;
36;{{flag|Oman}};24,674;
37;{{flag|Malta}};23,971;
38;{{flag|Saudi Arabia}};23,814;
—;Neuquén;23,380;
—;Chubut;22,983;
39;{{flag|Portugal}};22,232;
40;{{flag|Slovakia}};22,097;
41;{{flag|Seychelles}};20,829;
42;{{flag|Estonia}};20,561;
43;{{flag|Trinidad and Tobago}};20,338;
—;Buenos Aires City;20,036;
44;{{flag|Hungary}};19,553;
45;{{flag|Antigua and Barbuda}};19,340;
46;{{flag|Barbados}};18,977;
47;{{flag|Lithuania}};18,977;
48;{{flag|Croatia}};18,575;
49;{{flag|Equatorial Guinea}}[1];18,058;
50;{{flag|Poland}};17,537;
51;{{flag|Latvia}};17,106;
52;{{flag|Russia}};15,948;
—;Río Negro;15,046;
53;{{flag|Botswana}};14,907;
—;Buenos Aires;14,773;
—;San Luis;14,649;
54;{{flag|Gabon}};14,545;
55;{{flag|Mexico}};14,534;
56;{{flag|Chile}};14,529;
57;{{flag|Argentina}};14,408;
—;Santa Fe;14,216;
58;{{flag|Libya}};14,192;
—;San Juan;14,154;
59;{{flag|Malaysia}};14,081;
—;Catamarca;14,105;
60;{{flag|Saint Kitts and Nevis}};13,826;
—;Mendoza;13,795;
—;Córdoba;13,708;
—;La Pampa;13,658;
61;{{flag|Turkey}};13,139;
—;Jujuy;13,089;
62;{{flag|Lebanon}};13,006;
63;{{flag|Venezuela}};12,806;
64;{{flag|Uruguay}};12,785;
65;{{flag|Romania}};12,600;
—;Salta;12,594;
—;Santiago del Estero;12,532;
—;Entre Ríos;12,420;
66;{{flag|Bulgaria}};12,322;
67;{{flag|Belarus}};12,313;
—;Corrientes;12,148;
—;Misiones;12,099;
68;{{flag|Mauritius}};12,011;
—;Formosa;11,616;
—;Chaco;11,516;
69;{{flag|Grenada}};11,464;
70;{{flag|Kazakhstan}};11,434;
71;{{flag|Panama}};11,362;
72;{{flag|Montenegro}};11,111;
73;{{flag|Iran}};11,052;
74;{{flag|Serbia}};10,810;
75;{{flag|Saint Lucia}};10,750;
76;{{flag|Costa Rica}};10,735;
—;Tucuman;10,811;
77;{{flag|Brazil}};10,466;
—;{{noflag}}World[2];10,433;
—;La Rioja;10,414;
78;{{flag|Saint Vincent and the Grenadines}};10,163;
79;{{flag|South Africa}};10,136;
80;{{flag|Dominica}};10,133;
81;{{flag|Macedonia}};9,164;
82;{{flag|Jamaica}};8,967;
83;{{flag|Azerbaijan}};8,634;
84;{{flag|Dominican Republic}};8,619;
85;{{flag|Peru}};8,594;
86;{{flag|Thailand}};8,239;
87;{{flag|Colombia}};8,229;
88;{{flag|Suriname}};8,188;
89;{{flag|Tunisia}};8,002;
90;{{flag|Belize}};7,954;
91;{{flag|Ecuador}};7,786;
92;{{flag|Bosnia and Herzegovina}};7,624;
93;{{flag|El Salvador}};7,564;
94;{{flag|Ukraine}};7,342;
95;{{flag|Albania}};6,897;
96;{{flag|Algeria}};6,709;
97;{{flag|Namibia}};6,612;
98;{{flag|Angola}};6,252;
99;{{flag|Kiribati}};6,122;
100;{{flag|China, People's Republic of}};5,970;
101;{{flag|Egypt}};5,897;
102;{{flag|Armenia}};5,792;
103;{{flag|Turkmenistan}};5,757;
104;{{flag|Swaziland}};5,749;
105;{{flag|Samoa}};5,674;
106;{{flag|Jordan}};5,537;
107;{{flag|Tonga}};5,382;
108;{{flag|Bhutan}};5,312;
109;{{flag|Maldives}};4,967;
110;{{flag|Guatemala}};4,907;
111;{{flag|Georgia}};4,869;
112;{{flag|Paraguay}};4,786;
113;{{flag|Syria}};4,757;
114;{{flag|Sri Lanka}};4,589;
115;{{flag|Morocco}};4,362;
116;{{flag|Bolivia}};4,345;
117;{{flag|Honduras}};4,275;
118;{{flag|Vanuatu}};4,251;
119;{{flag|Fiji}};4,196;
120;{{flag|Guyana}};4,029;
121;{{flag|Indonesia}};3,980;
122;{{flag|Republic of the Congo}};3,919;
123;{{flag|Mongolia}};3,547;
124;{{flag|Philippines}};3,515;
125;{{flag|Iraq}};3,477;
126;{{flag|Cape Verde}};3,472;
127;{{flag|Moldova}};2,984;
128;{{flag|Solomon Islands}};2,917;
129;{{flag|Vietnam}};2,794;
130;{{flag|India}};2,780;
131;{{flag|Nicaragua}};2,698;
132;{{flag|Uzbekistan}};2,634;
133;{{flag|Pakistan}};2,624;
134;{{flag|Yemen}};2,411;
135;{{flag|Djibouti}};2,396;
136;{{flag|Timor-Leste}};2,368;
137;{{flag|Sudan}};2,309;
138;{{flag|Kyrgyzstan}};2,185;
139;{{flag|Nigeria}};2,162;
140;{{flag|Cameroon}};2,139;
141;{{flag|Laos}};2,127;
142;{{flag|Papua New Guinea}};2,108;
143;{{flag|Cambodia}};2,082;
144;{{flag|Mauritania}};2,055;
145;{{flag|Tajikistan}};2,023;
146;{{flag|São Tomé and Príncipe}};1,752;
