Software Name;E-mail client;HTML editor;Collaborative software;Online editing;
Ability Office;{{no}};{{no}};{{no}};{{no}};
Apache OpenOffice;{{no}};{{yes|OpenOffice Writer[23]}};{{no}};{{yes2}} With free plugins;
Breadbox Office;{{yes}};{{yes}};{{no}};{{no}};
Calligra Suite;{{yes2}}Kontact[1];{{yes2}}Kate,[1] Quanta+[1];{{no}};{{no}};
| Feng Office Community Edition;{{yes2}} beta;{{no}};{{yes}};{{yes}};
GobeProductive;{{no}};{{yes}};{{no}};{{no}};
Google Apps for Work;{{yes|Gmail}};{{yes|Google Sites}};{{yes}};{{yes|Fully online}};
IBM Lotus Symphony;{{no}};{{no}};{{no}};{{no}};
iWork;{{yes|Mail}};{{no}};{{yes}};{{yes|iCloud}};
LibreOffice;{{no|Can interface with email clients and Mail Merge Wizard can send email directly from LibreOffice}}[24];{{yes|LibreOffice Writer}};{{partial|LibreOffice Calc}};{{yes2}} Currently via free plugins; LibreOffice Online under development.[25];
Lotus SmartSuite;{{no}};{{yes|Lotus FastSite}};{{yes}};{{no}};
MarinerPak;{{no}};{{no}};{{no}};{{no}};
Microsoft Office;{{yes|Microsoft Outlook (Not included in Microsoft Office 2013 or 2016 Home & Student)}}[26][27];{{yes2|Microsoft SharePoint Designer}}. Versions after Office 2000 Premium and Developer contain Microsoft FrontPage, the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0;{{partial|Microsoft SharePoint}} (Available for separate subscription)[28];{{yes|Office Online}};
Microsoft Works;{{no}};{{no}};{{no}};{{yes|Microsoft Office Live}};
MobiSystems OfficeSuite;{{Yes|OfficeSuite Mail for Windows, AquaMail for Android}};{{no}};{{no}};{{no}};
NeoOffice;{{no}};{{yes|NeoOffice Writer[23]}};{{no}};{{no}};
ONLYOFFICE;{{yes}};{{no}};{{yes}};{{yes|Fully online}};
ShareOffice;{{no}};{{no}};{{yes}};{{yes|Fully online}};
SoftMaker Office;{{yes|a bundled Mozilla Thunderbird}};{{no}};{{no}};{{no}};
StarOffice;{{no}};{{yes|StarWriter[23]}};{{no}};{{yes2}} With free plugins;
TeXmacs;{{partial|allows to read emails}};{{yes}};{{partial|under development}};{{no}};
TeamLab;{{no}};{{yes}};{{yes}};{{yes}};
ThinkFree Office;{{no}};{{yes|Note}};{{no}};{{yes|ThinkFree.com}};
Tiki Wiki CMS Groupware;{{yes|Tiki Webmail}};{{yes|WYSIWYG editor}} via CKEditor;{{yes}};{{yes|Fully online}};
WordPerfect Office;{{no|has mail merge capabilities}}[29];{{no}};{{no}};{{yes}};
WPS Office (Kingsoft Office);{{no}};{{no}};{{no}};{{yes}};
Zoho Office Suite;{{yes|Zoho Mail}};{{yes|Zoho Writer}};{{yes}};{{yes}};
Software Name;E-mail client;HTML editor;Collaborative software;Online editing;
