Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
Multitasking;{{Yes}};{{Yes|7+;}}[417] 4-6: Limited[418];{{Yes|8+}},[419] 7.5: Limited;{{Yes}};{{Yes|2+}}[157];{{Yes}};{{Yes}};
Quick app switching;{{Yes|7+}}[420];{{Yes|9+:}} via 3D Touch;[421] 5+: only on iPad[422];{{No}};{{No}};{{No}};{{No}};{{Yes}};
Document-centric multitasking;{{Yes|5+}}[423];{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Split-screen app usage;{{Yes|7+, some manufacturers earlier}}[424];{{Rarely|9+:}} only on iPad with 2 GB RAM or more[425];{{No}};{{No2}}No, 3rd party software[426];{{Yes}}[427];{{No2}}No [428];{{Rarely|Tablet-only}};
Desktop interactive widgets;{{Yes}};{{Yes|10+: App icons via 3D Touch and/or dedicated widget screen}}[429];{{No}} (Live Tiles are not interactive)[430];{{No}};{{No}};{{Yes}};{{No}};
Lock screen widgets;{{Yes}} (Notifications and settings). Full Widgets on Android 4.2-4.4 only.[431][432];{{Yes|Media player, voicemail, camera;[433] 5+: Notifications; 7+: Control Center 8+: Interactive Notifications[434] 10+: Full widgets[429]}};{{Okay|Media Player; 8+: Live Apps and notifications}}[435];{{Yes}}, interactive notifications, camera, alarm;{{Okay|Media player; Notifications (SMS, call)}};{{Yes}};{{No}};
Notification view widgets;{{Yes|4.1+: Google Now and possible with 3rd party apps}};{{Yes|8+}};{{No}};{{Yes}}, BB 10.2;{{No}};{{Yes}};{{No}};
Quick settings toggles;{{Yes|2+}}[436];{{Yes|7+}}[437];{{Yes|8.1+}}[93];{{Yes|10+}}, customizable in 10.2.1+[438];{{No}};{{No2|Via the Patchmanager app[439]}};{{Yes}};
Search multiple internal apps at once;{{Yes}};{{Yes}};{{Yes|8.1+}}[440];{{Yes}};{{Yes}};{{No}}[441];{{Yes}};
Settings search;{{Yes|5+}} or 3rd party software like LineageOS[442];{{Yes|9+}}[443];{{Yes|8.1update2+}}[45];{{Yes}};{{No}};{{No}};{{Yes}};
Search all fields of internal objects;{{Okay|Only search Contacts name field but not any other field}}[444];{{Yes|6+}}[445];{{Okay|Contacts are searched by name, nick and company}},[446] but not other fields like address or notes[447];{{Yes}}[448];{{Okay|Only searches contacts by name}};?;
Core apps missing search;Calendar[449] (available since 3+ and HTC Sense);Bookmarks[450];Video[451];?;?;?;?;
Phone number links to dialer;{{Yes|Available in stock Android, but not all devices enable it.}}[452];{{Yes}};{{Yes}};{{Yes}};{{Okay|Yes, but not in browser}};{{Yes}};{{Yes}};
Addresses links to maps;{{Okay|In Contacts, but not in Calendar}}[453] nor in Gmail[454];{{Yes}}[455];{{Yes}}[456];{{Yes}}[457];?;{{Yes}};?;
Dates links to calendar;{{No}};{{Yes}}[458];{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;
