! Single precision;Double precision;Other precision;Processor dependent;
Ada[1];Float;Long_Float;{{n/a}};
ALGOL 68;real{{ref|a68|[a]}};long real{{ref|a68|[a]}};short real, long long real, etc.{{ref|a68g|[d]}};
C;float{{ref|lax floats|[b]}};double;long double{{ref|C-long-double|[f]}};
C++ (STL);
Objective-C (Cocoa);CGFloat;
C#;float;rowspan=4 {{n/a}};
Java;
Go;float32;float64;
Rust;f32;f64;
Swift;Float Float32;Double Float64;Float80{{ref|Swift-long-double|[g]}};CGFloat;
D;float;double;;real;
Common Lisp;single-float;double-float;float, short-float, long-float;
Scheme;;;;
ISLISP;;;;
Pascal (Free Pascal);single;double;;real;
Visual Basic;Single;Double;rowspan=3 {{n/a}};
Visual Basic .NET;
Xojo;
Python;rowspan=2 {{n/a}};float;;
JavaScript;Number[7];{{n/a}};
S-Lang;;;;
Fortran;REAL(KIND = n){{ref|real inds|[c]}};;
PHP;;float;;
Perl;;;;
Perl 6;num32;num64;;Num;
Ruby;{{n/a}};Float;rowspan=4 {{n/a}};
Scala;Float;Double;
Seed7;{{n/a}};float;
Smalltalk;Float;Double;
Windows PowerShell;;;
OCaml;{{n/a}};float;rowspan=3 {{n/a}};
F#;float32;
Standard ML;{{n/a}};;real;
Haskell (GHC);Float;Double;;
Eiffel;REAL_32;REAL_64;;
COBOL;FLOAT-BINARY-7{{ref|Cobol_ieee|[e]}};FLOAT-BINARY-34{{ref|Cobol_ieee|[e]}};FLOAT-SHORT, FLOAT-LONG, FLOAT-EXTENDED;
Mathematica;{{n/a}};{{n/a}};;Real;
