;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
One-way street;;;;;;NOT USED;;NOT USED;;;;;;;;;;;;;;;;;;;;;
;NOT USED;;;;;NOT USED;;;;;NOT USED;;;;;NOT USED;;;;;;;;NOT USED;;;;
Pedestrian crossing;;;;;;;;;;;;;;;;;;;;;;;;or;[33];;;NOT USED;
Advisory speed limit;NOT USED;NOT USED;;;;;;NOT USED;;;NOT USED;NOT USED;;;;;NOT USED;;;;;;;;NOT USED;;;or (temporary);
Lane ends;;;;;or [34];;;;;;;;;;;;;;;;;;;;;;;;
Road bump;;;;;;;;;;;;;NOT USED;;;;;;;;;;;;NOT USED;;;;
Residential area/Living street;;;;;;;;;;;;NOT USED;;;;;;NOT USED;;;;;;;or;;;;
Pedestrian zone;;;;;;;;;;;;;;;;;;NOT USED;;(Russia) (Belarus);;;;;or;;;;
Bus lane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limited-access road;;;;;NOT USED;;;;;;NOT USED;NOT USED;;;;;;;;;;;;;;;;NOT USED;
End of limited-access road;;;;;NOT USED;;;;;;NOT USED;NOT USED;;;;;;;;;;;;;;;;NOT USED;
Motorway;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;
End of motorway;;;;;;;;;;;NOT USED;;;;;;;;;;;;;;;;;;
;Austria;Belgium;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Russia & Belarus;Slovakia;Slovenia;Spain;Sweden;Switzerland & Liechtenstein;Turkey;Ukraine;United Kingdom;
