System;Documentation integration/generation, reporting;Test planning integration;Customizable workflow;Unicode support;Custom fields;SLA[5];Plugin API[6];Multiple projects;Full-text search;Indexed full-text search;Indexed file search;
Apache Bloodhound;{{Yes}}, integrated wiki;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} (as of 0.6);{{Yes}};{{Yes}}[7] uses Whoosh;{{No}};
Assembla Tickets;{{Yes}}, Wiki syntax, email notification, linking to Subversion commits, document manager, charts, reports, notifications;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{unk}};{{No}};
Axosoft;{{Yes}}, Team Wiki, Burndown, GitHub and TortoiseSVN integration, dashboards, custom reports for OnPremises, e-mail notifications and alerts, customer portal, RSS;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;;
Bugzilla;{{Yes}}, reporting: integrated reports and charts, scheduled reports by mail;{{Yes}}[8];{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}}[9];{{Yes}} When using MySQL MyISAM[10] or Oracle Database[11] but not PostgreSQL[12];;
Debbugs;{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{unk}};;;{{No}};
Faveo Helpdesk;{{Yes}}, Integrated Social Media, In-built Knowledge Base and Reporting;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{NA}};{{Yes}};{{No}};{{No}};
FogBugz;{{Yes}}, Integrated wiki;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}}[13];{{Yes}};{{Yes}}[14];{{Yes}}[15];{{No}}[16];
Fossil;{{Yes}}, Integrated Wiki in addition to integrated versioned project documentation via web ui.;{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}}[17];{{No}}[18];{{No}};;
FusionForge;{{Yes}}, integrated Mediawiki, discussion forums, news blogs, email integration, export to CSV, reporting graphs;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};;;
GLPI;{{Yes}}, Contains a proprietary knowledge base of sorts;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
GNATS;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{unk}};;;;
HP Quality Center;{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};
IBM Rational ClearQuest;{{Yes}}, reporting: integrated charts and interface to Crystal Reports;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{optional}}[19];{{optional}} uses Solr and Lucene;;
IBM Rational Team Concert;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};;;;
Jira;{{Yes}}, Dashboard with reporting widgets (Open Social) Excel, Word, customizable charts, Confluence (Enterprise wiki);{{Yes}}[20];{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}}[21];{{Yes}};{{Yes}}[22];{{Yes}} Uses Lucene[22];{{optional}}[23];
Liberum Help Desk;{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{unk}};;;;
MantisBT;{{Yes}}, Integration of MediaWiki, DokuWiki, XWiki;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}}[24];{{Yes}};{{No}}[25];
Microsoft Dynamics CRM;{{Yes}}, reporting: integrated charts and reports, export to Excel, Mail Merge;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{unk}};;;;
org-mode;{{Yes}}, org-mode has built-in export to HTML, Latex, .md and literate programming capabilities for multiple languages in a single document;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};;;
OTRS;{{Yes}}, Advanced reporting, configurable dashboards;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};
Phabricator;{{Yes}}, integrated wiki and limited burn down charts;{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Pivotal Tracker;{{Yes}}, real time collaborative story backlog, integrated reports, email notification;{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};;;;
Redmine;{{Yes}}, integrated wiki, discussion forums, news blogs, email integration, calendars, Gantt Charts, RSS, export to PDF, export to Excel/CSV;{{Yes}}[26];{{Yes}};{{Yes}};{{Yes}};{{optional}}[27];{{Yes}};{{Yes}};{{Yes}}[28];{{optional}}, when using PostgreSQL[29];{{optional}}[30];
Request Tracker;{{Yes}}, MediaWiki[31];{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}}[32];{{Yes}}[33];{{Yes}};{{Yes}}[34];{{Yes}}[34];;
Roundup;{{Yes}}, wiki can be integrated or linked;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}}[35];{{Yes}};{{Yes}}[36];{{Yes}} with issues[37];{{Yes}};
StarTeam;{{No}};{{Yes}}[38];{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{unk}};;;;
Supportworks;{{Yes}} - Integrated reporting wizard, customizable PHP reporting tool, dashboard, optional interface with Crystal Reports, export to Microsoft Excel/CSV, knowledge base, optional asset management tool;{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}}[39];{{unk}};;;;
SysAid;{{Yes}} - LDAP/Email/Calendar integration, integrated Asset Management, integrated reporting, SSO, custom fields, export to CSV/PDF, KB;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{unk}};{{No}};
Team Foundation Server;{{Yes}} - workflow definitions, process documentation;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};;;;
Teamwork;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}}[40];{{Yes}} Uses Lucene;;
TestTrack;{{Yes}} - Advanced reporting, integrated charts, export to Excel, workflow with triggers;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};;
The Bug Genie;{{Yes}}, integrated wiki;{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};
Trac;{{Yes}}, integrated wiki;{{Yes}}[41];{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}}[42];{{Yes}}[43];{{Yes}};{{No}}[44];;
TrackerSuite.Net;{{Yes}}. Dashboards. Graphical reports. Integration with Crystal Reports. Reports can be exported to Microsoft Excel.;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};
Tuleap;{{Yes}}, Kanban boards, Scrum planning and burndown charts, pies, Gantt, barrs, cardwall, Document Manager with approval workflow and fine grained permissions, wikis;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} with plugin fulltext;{{Yes}} with plugin fulltext;{{No}};
Usersnap;{{Yes}}. Dashboards, Help Center.;{{No}};{{Yes}}, via Tags.;{{Yes}};{{Yes}};{{Yes}}, available for enterprise plans;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{N/A}};
