Distribution;Size of media (MB);RAM use (MB);Boots from CD;Boots from DVD;Installable live CD/DVD;Installable from USB;
Arch Linux;{{nts|742}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
AUSTRUMI;{{nts|301}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
BLAG Linux and GNU;{{nts|696}};{{dunno}};{{yes}};{{no}};{{dunno}};;
Bodhi Linux;{{nts|1024}};{{nts|80}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
CentOS;{{nts|603}} (Minimal) {{nts|4096}} (DVD);;{{Yes}};{{Yes}};{{Yes |Yes (installable since 6.0)}};{{Yes}};
Chakra;{{nts|2150}};;{{no}};{{yes}};{{yes}};{{yes}};
Debian;{{nts|958}};;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Devuan;{{Yes}};{{nts|868}};{{Yes}};{{Yes}};{{Yes}};
Dragora GNU/Linux-Libre;{{nts|655}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
dyne:bolic;{{nts|1650}};{{dunno}};{{partial|up to version 2.x}};{{Yes}};{{dunno}};{{dunno}};
Fedora;{{nts|1434}};{{nts|256}} to {{nts|1024}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Gentoo;{{nts|260}} (Minimal) {{nts|2048}} (Live DVD);up to {{nts|128}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
gNewSense[151];{{nts|1200}};{{nts|512}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Grml;{{nts|460}};{{nts|32}} to {{nts|128}};{{Yes}};{{No}};{{Yes}};{{Yes}};
Guix System Distribution[152];{{nts|987}};{{nts|0.27}};{{no}};{{yes}};{{yes}};{{Yes}};
Hyperbola GNU/Linux-libre;{{nts|663}} and {{nts|692}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};
Knoppix CD;{{nts|700}};{{nts|128}} to {{nts|320}};{{Yes}};{{Yes}};{{No|Only DVD edition is maintained}};;
Knoppix DVD;{{nts|4813}};{{nts|128}} to {{nts|500}};{{No}};{{Yes}};;;
