Software;Platform;License;Latest version;Last release year;Size (MB){{efn|The size depends on chosen installation. The lower limit is for a minimal installation. The upper limit is for a full installation with all features.}};Description;Number{{efn|Number of editable tags}};Supported metadata standards{{efn|EXIF - Exchangeable image file format for digital still cameras GPS - The global positioning system IPTC - IPTC-NAA Information Interchange Model XMP - Extensible Metadata Platform Maker - Proprietary Maker Notes Other - Other standards, for example: IRB Adobe Photoshop image resource blocks, MPF - Multu-Picture Format R - Can Read tags E - Can Edit tags W - Can Write tags D - Can Delete tags}};Supported file formats{{efn|JPEG - ISO/IEC IS 10918-1 1993(E) TIFF - Tagged Image File Format Raw - Proprietary raw formats Other - Other formats, for example: PSD Adobe Photoshop, DNG Digital Negative, JP2 JPEG2000 Yes - Format is supported}};
EXIF;GPS;IPTC;XMP;Maker;Other;JPEG;TIFF;Raw;Other;
ExifDropper[17];Windows;{{proprietary|Freeware}};0.9;2009;0.1;Graphical front-end for ExifTool with drag-and-drop and command-line parameters.;>200;{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
ExifMixer[18];Windows;{{proprietary|Freeware}};0.50;2008;0.4;GUI extension for the ExifTool with command-line parameters.;>200;{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes2|EW}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Exif Pilot[19];Windows;{{proprietary|Freeware}};4.9.3;2016;2.1;Software for viewing, editing, and creating metadata.;26;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{partial|R}};{{partial|R}};{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Exif Stats[20];Windows;{{proprietary|Freeware}};;2006;2.0;Extract some tags using ExifTool.;{{n/a}};{{partial|R}};{{partial|R}};{{partial|R}};{{partial|R}};{{partial|R}};{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Exif Tag Remover[21];Windows;{{proprietary|Shareware}};5.1;2014;3.5;Allows you to easily delete all metadata tags.;{{n/a}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Partial|D}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
ExifTool[22];Linux, MacOS, Windows;{{free|GPLv1}};10.13;2018;3.9;Powerful command line utility.;>200;{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes|RDEW}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
ExifTool GUI[23];Windows;{{proprietary|Freeware}};5.16;2012;1.4;GUI for the ExifTool with some editing features.;64;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{partial|R}};{{partial|R}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
EXIFutils[24];Linux, MacOS, Windows;{{proprietary|Shareware}};3.1.4;2011;3.5;Set of command line utilities that extract, add, remove, copy, and replace metadata.;>200;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
ExifyMe[25];Windows;{{proprietary|Freeware}};1.0;2010;3.3;Restore EXIF metadata from an original image.;{{dunno}};{{Yes2|W}};{{Yes2|W}};;;;;{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Exiv2[26];Linux, MacOS, Windows;{{partial|GPL/Proprietary (Dual licensed)}};0.26;2017;1.6;Command line utility and C++ Library;>200;{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};{{Yes|REW}};;{{Yes}};{{Yes}};{{Yes}};;
