Name;Interface;Type of Client;Downloading headers XOVER;PAR;NZB;unZip or unRAR;Integrated Search Service (retention / $$$/yr);IPv6;SSL/TLS;Audio Video Streaming;Price;Platform;License;Other;
Arachne;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;;;;Free;DOS, Unix-like;{{free|GPL}};;
BinTube;GUI;Binary Grabber;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} (3200 Days / Free);{{Yes}};{{Yes}};{{Yes}};$59.95 / Free with subscription;Microsoft Windows;{{proprietary}};Streams media while downloading; Free with Usenet Service;
Forté Agent;GUI;Combination;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;{{Yes}};;$29;Microsoft Windows;{{proprietary}};Includes 3 month newsgroup service trial; Shareware;
Gnus;Text-based;Traditional Newsreader;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};Free;Cross-platform;{{free|GPL}};Runs in Emacs; also does Email;
GrabIt;GUI;Binary Grabber;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} ( 30 days / $24.99/yr );{{No}};{{Yes}};;Free (searching extra);Microsoft Windows;{{proprietary}};Usenet Search Service;
KNode;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;{{yes}};{{yes}};;Free;Unix-like;{{free|GPL}};KDE;
Lotus Notes;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;;;;Varies;Microsoft Windows, Unix-like, Mac OS X;{{proprietary}};;
Name;Interface;Type of Client;Downloading headers XOVER;PAR;NZB;unZip unRAR;Integrated Search Service (retention / $$$/yr);IPv6;SSL/TLS;Audio Video Streaming;Price;Platform;License;Other;
Lynx;Text-based;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;{{Yes}};{{Yes}};;Free;Cross-platform;{{free|GPL}};Limited USENET support;
Mozilla Mail & Newsgroups;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};{{No}};{{No}};;;;Free;Cross-platform;{{free|MPL/GPL/LGPL tri-license}};Replaced by SeaMonkey Mail & Newsgroups;
Mozilla Thunderbird;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};;Free;Cross-platform;{{free|MPL}};Plugin support;
Newsbin Pro;GUI;Binary Grabber;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} ( $10/yr );{{Yes}};{{Yes}};;$20;Microsoft Windows;{{proprietary}};Shareware;
NewsLeecher;GUI;Combination;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} Optional extra Add $10 per year;{{No}};{{Yes}};;Varies;Microsoft Windows;{{proprietary}};Shareware;
NewsMan Pro;GUI;Combination;{{Yes}};{{Yes}};{{Yes}};{{Yes}};;;{{Yes}};;$29.95;Microsoft Windows;{{proprietary}};;
Novell GroupWise;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;;;;;Varies;Microsoft Windows, Unix-like;{{proprietary}};;
Opera Mail;GUI;Traditional Newsreader;{{Yes}};{{No}};{{No}};;{{No}};{{Yes}};{{Yes}};;Free;Cross-platform;{{proprietary}};Part of Opera up to version 12.17;
